Signal=200    Date=11/29/2017
___________________________________________________________________________
L             B          GreenlandA     GreenlandAA  IcelandA   IcelandAA
___________________________________________________________________________
40.0000       0.5000     6.8305         6.5951       NaN        NaN
40.0000       1.0000     17.6843        17.4503      89.8678    89.9297
40.0000       1.5000     22.0538        21.8667      128.9933   129.0597
45.0000       0.5000     9.4933         9.1906       NaN        NaN
45.0000       1.0000     18.1931        17.8125      99.6306    99.7355
45.0000       1.5000     24.8259        24.0730      138.4094   138.5405
55.0000       0.5000     5.3531         5.1135       61.5814    61.6118
55.0000       1.0000     21.0605        20.7653      97.2934    97.4142
55.0000       1.5000     25.1395        24.6579      132.5459   132.6752
60.0000       0.5000     3.3373         3.1217       57.2832    57.2385
60.0000       1.0000     15.6634        15.4871      105.1544   105.1691
60.0000       1.5000     21.7684        21.3050      44.9946    45.1767
