L buffer Gt/yr
20.0000 0.0000 135.0420
20.0000 0.5000 154.0597
20.0000 1.0000 171.3358
20.0000 1.5000 183.6913
20.0000 2.0000 194.5927
20.0000 2.5000 209.2893
20.0000 3.0000 218.2122
25.0000 0.0000 151.5504
25.0000 0.5000 173.0202
25.0000 1.0000 187.0744
25.0000 1.5000 199.3575
25.0000 2.0000 209.5159
25.0000 2.5000 218.4246
25.0000 3.0000 221.7421
30.0000 0.0000 160.4661
30.0000 0.5000 179.0323
30.0000 1.0000 193.3534
30.0000 1.5000 203.8540
30.0000 2.0000 211.6177
30.0000 2.5000 217.0644
30.0000 3.0000 216.4223
35.0000 0.0000 163.1658
35.0000 0.5000 181.4006
35.0000 1.0000 194.3641
35.0000 1.5000 204.4325
35.0000 2.0000 210.3666
35.0000 2.5000 214.1053
35.0000 3.0000 216.2770
40.0000 0.0000 163.4252
40.0000 0.5000 186.2384
40.0000 1.0000 198.3804
40.0000 1.5000 206.6611
40.0000 2.0000 212.0768
40.0000 2.5000 214.0069
40.0000 3.0000 214.2755
45.0000 0.0000 165.4897
45.0000 0.5000 188.7406
45.0000 1.0000 200.5571
45.0000 1.5000 208.3001
45.0000 2.0000 212.3890
45.0000 2.5000 214.1950
45.0000 3.0000 212.3902
50.0000 0.0000 170.9484
50.0000 0.5000 190.3400
50.0000 1.0000 203.4602
50.0000 1.5000 210.4459
50.0000 2.0000 213.3802
50.0000 2.5000 212.7089
50.0000 3.0000 210.0189
55.0000 0.0000 172.9579
55.0000 0.5000 194.8316
55.0000 1.0000 205.7567
55.0000 1.5000 210.7503
55.0000 2.0000 212.1052
55.0000 2.5000 210.2226
55.0000 3.0000 207.0070
60.0000 0.0000 177.9738
60.0000 0.5000 197.5277
60.0000 1.0000 206.6978
60.0000 1.5000 210.8718
60.0000 2.0000 209.6291
60.0000 2.5000 207.1456
60.0000 3.0000 203.5666
