L buffer Gt/yr
20.0000 0.0000 135.0560
20.0000 0.5000 154.0283
20.0000 1.0000 171.0552
20.0000 1.5000 183.3501
20.0000 2.0000 194.1942
20.0000 2.5000 208.8631
20.0000 3.0000 217.7328
25.0000 0.0000 151.5217
25.0000 0.5000 172.8538
25.0000 1.0000 186.8169
25.0000 1.5000 199.1280
25.0000 2.0000 209.2261
25.0000 2.5000 218.0539
25.0000 3.0000 221.0397
30.0000 0.0000 160.3051
30.0000 0.5000 178.7945
30.0000 1.0000 193.0670
30.0000 1.5000 203.3321
30.0000 2.0000 210.9411
30.0000 2.5000 216.2581
30.0000 3.0000 215.6020
35.0000 0.0000 162.9318
35.0000 0.5000 180.9214
35.0000 1.0000 193.6403
35.0000 1.5000 203.6722
35.0000 2.0000 209.4826
35.0000 2.5000 213.1489
35.0000 3.0000 215.2121
40.0000 0.0000 163.0118
40.0000 0.5000 185.4924
40.0000 1.0000 197.4652
40.0000 1.5000 205.6251
40.0000 2.0000 210.9613
40.0000 2.5000 212.7781
40.0000 3.0000 213.1223
45.0000 0.0000 164.6924
45.0000 0.5000 187.6474
45.0000 1.0000 199.3438
45.0000 1.5000 206.9893
45.0000 2.0000 211.0035
45.0000 2.5000 212.8782
45.0000 3.0000 211.2639
50.0000 0.0000 169.8063
50.0000 0.5000 188.9835
50.0000 1.0000 202.1034
50.0000 1.5000 209.0598
50.0000 2.0000 212.3243
50.0000 2.5000 211.8726
50.0000 3.0000 209.6146
55.0000 0.0000 171.7497
55.0000 0.5000 193.4053
55.0000 1.0000 204.2812
55.0000 1.5000 209.5678
55.0000 2.0000 211.1379
55.0000 2.5000 209.5546
55.0000 3.0000 206.6196
60.0000 0.0000 176.9258
60.0000 0.5000 196.4705
60.0000 1.0000 205.7335
60.0000 1.5000 209.7892
60.0000 2.0000 208.9080
60.0000 2.5000 206.4116
60.0000 3.0000 202.7960
