L buffer Gt/yr
20.0000 0.0000 0.0000
20.0000 0.5000 0.0000
20.0000 1.0000 0.0000
20.0000 1.5000 0.0000
20.0000 2.0000 2.0703
20.0000 2.5000 3.1440
20.0000 3.0000 4.5328
25.0000 0.0000 0.0000
25.0000 0.5000 0.0000
25.0000 1.0000 0.0000
25.0000 1.5000 -1.2535
25.0000 2.0000 -1.0518
25.0000 2.5000 -0.5528
25.0000 3.0000 0.2902
30.0000 0.0000 0.0000
30.0000 0.5000 0.0000
30.0000 1.0000 -1.2652
30.0000 1.5000 -1.3446
30.0000 2.0000 -1.2022
30.0000 2.5000 -0.7948
30.0000 3.0000 -0.0943
35.0000 0.0000 0.0000
35.0000 0.5000 -0.8374
35.0000 1.0000 -1.0443
35.0000 1.5000 -1.1115
35.0000 2.0000 -0.9921
35.0000 2.5000 -0.6561
35.0000 3.0000 -0.0900
40.0000 0.0000 0.0000
40.0000 0.5000 -0.5381
40.0000 1.0000 -0.6815
40.0000 1.5000 -0.7212
40.0000 2.0000 -0.6205
40.0000 2.5000 -0.3582
40.0000 3.0000 0.0835
45.0000 0.0000 0.0000
45.0000 0.5000 -0.2463
45.0000 1.0000 -0.3148
45.0000 1.5000 -0.3201
45.0000 2.0000 -0.2341
45.0000 2.5000 -0.0407
45.0000 3.0000 0.2950
50.0000 0.0000 -0.2055
50.0000 0.5000 -0.3538
50.0000 1.0000 -0.4246
50.0000 1.5000 -0.4271
50.0000 2.0000 -0.3467
50.0000 2.5000 0.0927
50.0000 3.0000 0.2744
55.0000 0.0000 -0.2687
55.0000 0.5000 -0.5110
55.0000 1.0000 -0.6084
55.0000 1.5000 -0.6291
55.0000 2.0000 -0.3619
55.0000 2.5000 -0.1874
55.0000 3.0000 1.6630
60.0000 0.0000 -0.0000
60.0000 0.5000 -0.1980
60.0000 1.0000 -0.2947
60.0000 1.5000 -0.3751
60.0000 2.0000 -0.4216
60.0000 2.5000 0.2664
60.0000 3.0000 1.0886
