L buffer Gt/yr
20.0000 0.0000 132.1238
20.0000 0.5000 150.6237
20.0000 1.0000 166.5792
20.0000 1.5000 178.4492
20.0000 2.0000 188.9143
20.0000 2.5000 203.3423
20.0000 3.0000 211.8978
25.0000 0.0000 147.5021
25.0000 0.5000 168.4908
25.0000 1.0000 181.9732
25.0000 1.5000 194.1636
25.0000 2.0000 203.9472
25.0000 2.5000 212.6625
25.0000 3.0000 215.7662
30.0000 0.0000 156.1100
30.0000 0.5000 174.1306
30.0000 1.0000 188.4557
30.0000 1.5000 198.6630
30.0000 2.0000 205.6066
30.0000 2.5000 210.6710
30.0000 3.0000 211.3938
35.0000 0.0000 159.4552
35.0000 0.5000 176.8819
35.0000 1.0000 190.5102
35.0000 1.5000 200.4792
35.0000 2.0000 206.2139
35.0000 2.5000 209.9489
35.0000 3.0000 211.6265
40.0000 0.0000 161.0330
40.0000 0.5000 183.5171
40.0000 1.0000 195.2100
40.0000 1.5000 203.1796
40.0000 2.0000 208.3006
40.0000 2.5000 209.3069
40.0000 3.0000 209.4387
45.0000 0.0000 164.0230
45.0000 0.5000 186.2526
45.0000 1.0000 197.3038
45.0000 1.5000 203.9441
45.0000 2.0000 207.2421
45.0000 2.5000 208.4755
45.0000 3.0000 206.7243
50.0000 0.0000 169.4452
50.0000 0.5000 187.6001
50.0000 1.0000 199.0915
50.0000 1.5000 205.3744
50.0000 2.0000 207.9733
50.0000 2.5000 207.1858
50.0000 3.0000 203.8028
55.0000 0.0000 170.8403
55.0000 0.5000 191.0817
55.0000 1.0000 200.9175
55.0000 1.5000 205.8049
55.0000 2.0000 206.8267
55.0000 2.5000 204.0716
55.0000 3.0000 200.5998
60.0000 0.0000 174.9789
60.0000 0.5000 192.9895
60.0000 1.0000 201.9328
60.0000 1.5000 206.4872
60.0000 2.0000 204.1164
60.0000 2.5000 201.7305
60.0000 3.0000 197.7873
