L buffer Gt/yr
20.0000 0.0000 0.0000
20.0000 0.5000 0.0000
20.0000 1.0000 0.0000
20.0000 1.5000 0.0000
20.0000 2.0000 1.9375
20.0000 2.5000 2.9927
20.0000 3.0000 4.3683
25.0000 0.0000 0.0000
25.0000 0.5000 0.0000
25.0000 1.0000 0.0000
25.0000 1.5000 -1.5860
25.0000 2.0000 -1.4574
25.0000 2.5000 -1.0229
25.0000 3.0000 -0.2332
30.0000 0.0000 0.0000
30.0000 0.5000 0.0000
30.0000 1.0000 -1.3128
30.0000 1.5000 -1.4186
30.0000 2.0000 -1.3075
30.0000 2.5000 -0.9345
30.0000 3.0000 -0.2707
35.0000 0.0000 0.0000
35.0000 0.5000 -0.5837
35.0000 1.0000 -0.7107
35.0000 1.5000 -0.7204
35.0000 2.0000 -0.5715
35.0000 2.5000 -0.2352
35.0000 3.0000 0.3041
40.0000 0.0000 0.0000
40.0000 0.5000 -0.0956
40.0000 1.0000 -0.0984
40.0000 1.5000 -0.0360
40.0000 2.0000 0.1204
40.0000 2.5000 0.3925
40.0000 3.0000 0.8006
45.0000 0.0000 0.0000
45.0000 0.5000 0.1948
45.0000 1.0000 0.2687
45.0000 1.5000 0.3687
45.0000 2.0000 0.5151
45.0000 2.5000 0.7282
45.0000 3.0000 1.2528
50.0000 0.0000 -0.0386
50.0000 0.5000 -0.0009
50.0000 1.0000 0.0538
50.0000 1.5000 0.1509
50.0000 2.0000 0.3062
50.0000 2.5000 0.8481
50.0000 3.0000 1.0331
55.0000 0.0000 -0.1949
55.0000 0.5000 -0.2992
55.0000 1.0000 -0.2912
55.0000 1.5000 -0.1988
55.0000 2.0000 0.0766
55.0000 2.5000 0.2721
55.0000 3.0000 2.3743
60.0000 0.0000 -0.0305
60.0000 0.5000 -0.1281
60.0000 1.0000 -0.1368
60.0000 1.5000 -0.0999
60.0000 2.0000 -0.3962
60.0000 2.5000 0.8680
60.0000 3.0000 1.8406
