L buffer Gt/yr
20.0000 0.0000 4.9267
20.0000 0.5000 8.0575
20.0000 1.0000 -0.9747
20.0000 1.5000 1.4273
20.0000 2.0000 4.4560
20.0000 2.5000 7.9723
20.0000 3.0000 10.8584
25.0000 0.0000 -20.4732
25.0000 0.5000 -18.8307
25.0000 1.0000 -17.1669
25.0000 1.5000 -4.7101
25.0000 2.0000 -0.0307
25.0000 2.5000 2.0633
25.0000 3.0000 27.0841
30.0000 0.0000 -16.4998
30.0000 0.5000 -13.2722
30.0000 1.0000 -11.5579
30.0000 1.5000 -4.0691
30.0000 2.0000 3.3232
30.0000 2.5000 13.0681
30.0000 3.0000 46.2681
35.0000 0.0000 -10.8604
35.0000 0.5000 -10.6469
35.0000 1.0000 -6.6271
35.0000 1.5000 3.5456
35.0000 2.0000 4.9047
35.0000 2.5000 11.7735
35.0000 3.0000 26.3506
40.0000 0.0000 -4.5707
40.0000 0.5000 -7.8028
40.0000 1.0000 -7.1181
40.0000 1.5000 -4.6103
40.0000 2.0000 -1.0372
40.0000 2.5000 8.4898
40.0000 3.0000 8.6476
45.0000 0.0000 -5.5339
45.0000 0.5000 -4.0891
45.0000 1.0000 -6.3346
45.0000 1.5000 -6.4213
45.0000 2.0000 0.7962
45.0000 2.5000 8.6734
45.0000 3.0000 9.0725
50.0000 0.0000 1.8138
50.0000 0.5000 -3.1602
50.0000 1.0000 -12.0894
50.0000 1.5000 -12.1270
50.0000 2.0000 -12.8032
50.0000 2.5000 -13.1327
50.0000 3.0000 5.4713
55.0000 0.0000 -0.7297
55.0000 0.5000 -11.7737
55.0000 1.0000 -13.5703
55.0000 1.5000 -13.1814
55.0000 2.0000 -12.0013
55.0000 2.5000 -8.4702
55.0000 3.0000 -0.7317
60.0000 0.0000 -3.3421
60.0000 0.5000 -5.1646
60.0000 1.0000 -0.6872
60.0000 1.5000 -6.1707
60.0000 2.0000 -5.9371
60.0000 2.5000 2.3958
60.0000 3.0000 15.5107
