L buffer Gt/yr
20.0000 0.0000 0.3663
20.0000 0.5000 0.3842
20.0000 1.0000 0.2252
20.0000 1.5000 0.2068
20.0000 2.0000 0.1889
20.0000 2.5000 0.1582
20.0000 3.0000 0.1289
25.0000 0.0000 0.3615
25.0000 0.5000 0.3695
25.0000 1.0000 0.3467
25.0000 1.5000 0.3698
25.0000 2.0000 0.3431
25.0000 2.5000 0.2629
25.0000 3.0000 -0.0151
30.0000 0.0000 0.4098
30.0000 0.5000 0.4192
30.0000 1.0000 0.3977
30.0000 1.5000 0.2791
30.0000 2.0000 0.2326
30.0000 2.5000 0.1619
30.0000 3.0000 0.0216
35.0000 0.0000 0.4062
35.0000 0.5000 0.4517
35.0000 1.0000 0.4284
35.0000 1.5000 0.2705
35.0000 2.0000 0.1984
35.0000 2.5000 0.1307
35.0000 3.0000 0.0130
40.0000 0.0000 0.1955
40.0000 0.5000 0.3229
40.0000 1.0000 0.1952
40.0000 1.5000 0.1404
40.0000 2.0000 0.1177
40.0000 2.5000 0.1758
40.0000 3.0000 0.2189
45.0000 0.0000 0.2185
45.0000 0.5000 0.0795
45.0000 1.0000 0.0514
45.0000 1.5000 0.2572
45.0000 2.0000 0.1878
45.0000 2.5000 0.2392
45.0000 3.0000 0.4137
50.0000 0.0000 0.1102
50.0000 0.5000 0.1571
50.0000 1.0000 0.4061
50.0000 1.5000 0.4318
50.0000 2.0000 0.6097
50.0000 2.5000 0.7396
50.0000 3.0000 0.6262
55.0000 0.0000 0.2492
55.0000 0.5000 0.4805
55.0000 1.0000 0.5505
55.0000 1.5000 0.7678
55.0000 2.0000 1.0078
55.0000 2.5000 0.7154
55.0000 3.0000 0.4195
60.0000 0.0000 0.3290
60.0000 0.5000 0.3403
60.0000 1.0000 0.3632
60.0000 1.5000 0.6583
60.0000 2.0000 0.2676
60.0000 2.5000 0.4241
60.0000 3.0000 0.2308
