L buffer Gt/yr
20.0000 0.0000 0.0000
20.0000 0.5000 0.0000
20.0000 1.0000 0.0000
20.0000 1.5000 0.0000
20.0000 2.0000 109.2578
20.0000 2.5000 134.6475
20.0000 3.0000 160.7597
25.0000 0.0000 0.0000
25.0000 0.5000 0.0000
25.0000 1.0000 0.0000
25.0000 1.5000 120.1613
25.0000 2.0000 151.8430
25.0000 2.5000 183.8588
25.0000 3.0000 215.3018
30.0000 0.0000 0.0000
30.0000 0.5000 0.0000
30.0000 1.0000 117.5104
30.0000 1.5000 154.8398
30.0000 2.0000 192.1430
30.0000 2.5000 228.0358
30.0000 3.0000 261.3708
35.0000 0.0000 0.0000
35.0000 0.5000 101.6092
35.0000 1.0000 144.0876
35.0000 1.5000 186.5099
35.0000 2.0000 226.8946
35.0000 2.5000 263.6314
35.0000 3.0000 295.7246
40.0000 0.0000 0.0000
40.0000 0.5000 120.2277
40.0000 1.0000 167.6948
40.0000 1.5000 213.0245
40.0000 2.0000 253.9515
40.0000 2.5000 289.0682
40.0000 3.0000 318.2154
45.0000 0.0000 0.0000
45.0000 0.5000 136.4896
45.0000 1.0000 187.1369
45.0000 1.5000 233.2690
45.0000 2.0000 272.7394
45.0000 2.5000 305.1584
45.0000 3.0000 323.0654
50.0000 0.0000 82.9221
50.0000 0.5000 149.8775
50.0000 1.0000 202.0023
50.0000 1.5000 247.2538
50.0000 2.0000 284.5925
50.0000 2.5000 305.1412
50.0000 3.0000 321.0725
55.0000 0.0000 89.5122
55.0000 0.5000 159.6308
55.0000 1.0000 211.7257
55.0000 1.5000 255.7198
55.0000 2.0000 281.7050
55.0000 2.5000 300.9867
55.0000 3.0000 289.4317
60.0000 0.0000 95.2179
60.0000 0.5000 167.4327
60.0000 1.0000 218.4440
60.0000 1.5000 260.1424
60.0000 2.0000 279.1011
60.0000 2.5000 282.4435
60.0000 3.0000 277.9688
