L buffer Gt/yr
20.0000 0.0000 -2144727140.9105
20.0000 0.5000 -2547125364.6475
20.0000 1.0000 -2959299499.0992
20.0000 1.5000 -3272337129.4794
20.0000 2.0000 -3571662980.7302
20.0000 2.5000 -4374488024.0340
20.0000 3.0000 -4755099958.7787
25.0000 0.0000 -2200232600.2428
25.0000 0.5000 -2722238425.8966
25.0000 1.0000 -3078039473.5161
25.0000 1.5000 -3478386396.4574
25.0000 2.0000 -3821975122.7046
25.0000 2.5000 -4156161088.2106
25.0000 3.0000 -4838189742.8428
30.0000 0.0000 -2210021971.2702
30.0000 0.5000 -2625551515.6722
30.0000 1.0000 -2971757772.9823
30.0000 1.5000 -3425358487.6911
30.0000 2.0000 -3876141788.1144
30.0000 2.5000 -4320473675.9853
30.0000 3.0000 -5110054687.8044
35.0000 0.0000 -2152670890.0963
35.0000 0.5000 -2569402964.9280
35.0000 1.0000 -2979798078.6636
35.0000 1.5000 -3714280036.2916
35.0000 2.0000 -4141541171.8039
35.0000 2.5000 -4554022760.8376
35.0000 3.0000 -4969333161.4400
40.0000 0.0000 -2132157605.8497
40.0000 0.5000 -2810379221.4902
40.0000 1.0000 -3242212902.3408
40.0000 1.5000 -3627728927.6914
40.0000 2.0000 -4024149442.3701
40.0000 2.5000 -4502653939.8934
40.0000 3.0000 -4959734804.7394
45.0000 0.0000 -2198886812.3832
45.0000 0.5000 -2778935229.4416
45.0000 1.0000 -3176561349.4356
45.0000 1.5000 -3617134493.7206
45.0000 2.0000 -4132083789.6095
45.0000 2.5000 -4540454321.8233
45.0000 3.0000 -5002195598.2610
50.0000 0.0000 -2275564061.9802
50.0000 0.5000 -2731485212.3149
50.0000 1.0000 -3265378678.2516
50.0000 1.5000 -3645544674.4377
50.0000 2.0000 -4056979872.8354
50.0000 2.5000 -4507423279.1694
50.0000 3.0000 -5056249049.4330
55.0000 0.0000 -2278838387.7563
55.0000 0.5000 -2814947020.4434
55.0000 1.0000 -3189711429.9579
55.0000 1.5000 -3629476021.1764
55.0000 2.0000 -4107790047.9363
55.0000 2.5000 -4626773245.2458
55.0000 3.0000 -5076833716.9088
60.0000 0.0000 -2316903531.3208
60.0000 0.5000 -2769008868.4972
60.0000 1.0000 -3170105064.9541
60.0000 1.5000 -3612964708.9859
60.0000 2.0000 -4172936938.4542
60.0000 2.5000 -4636667697.5025
60.0000 3.0000 -5129621712.6109
