lon lat total
0.0000 90.0000 0.0177
0.0000 89.0000 0.0149
0.0000 88.0000 0.0051
0.0000 87.0000 -0.0068
0.0000 86.0000 -0.0175
0.0000 85.0000 -0.0266
0.0000 84.0000 -0.0346
0.0000 83.0000 -0.0413
0.0000 82.0000 -0.0473
0.0000 81.0000 -0.0578
0.0000 80.0000 -0.0818
0.0000 79.0000 -0.1269
0.0000 78.0000 -0.1892
0.0000 77.0000 -0.2480
0.0000 76.0000 -0.2699
0.0000 75.0000 -0.2261
0.0000 74.0000 -0.1118
0.0000 73.0000 0.0418
0.0000 72.0000 0.1769
0.0000 71.0000 0.2351
0.0000 70.0000 0.1902
0.0000 69.0000 0.0665
0.0000 68.0000 -0.0707
0.0000 67.0000 -0.1501
0.0000 66.0000 -0.1347
0.0000 65.0000 -0.0442
0.0000 64.0000 0.0589
0.0000 63.0000 0.1098
0.0000 62.0000 0.0825
0.0000 61.0000 0.0048
0.0000 60.0000 -0.0645
0.0000 59.0000 -0.0784
0.0000 58.0000 -0.0344
0.0000 57.0000 0.0284
0.0000 56.0000 0.0611
0.0000 55.0000 0.0429
0.0000 54.0000 -0.0060
0.0000 53.0000 -0.0437
0.0000 52.0000 -0.0417
0.0000 51.0000 -0.0063
0.0000 50.0000 0.0298
0.0000 49.0000 0.0370
0.0000 48.0000 0.0124
0.0000 47.0000 -0.0198
0.0000 46.0000 -0.0316
0.0000 45.0000 -0.0149
0.0000 44.0000 0.0128
0.0000 43.0000 0.0265
0.0000 42.0000 0.0155
0.0000 41.0000 -0.0081
0.0000 40.0000 -0.0222
0.0000 39.0000 -0.0152
0.0000 38.0000 0.0049
0.0000 37.0000 0.0187
0.0000 36.0000 0.0144
0.0000 35.0000 -0.0027
0.0000 34.0000 -0.0159
0.0000 33.0000 -0.0134
0.0000 32.0000 0.0013
0.0000 31.0000 0.0136
0.0000 30.0000 0.0124
0.0000 29.0000 -0.0003
0.0000 28.0000 -0.0118
0.0000 27.0000 -0.0114
0.0000 26.0000 -0.0003
0.0000 25.0000 0.0103
