lon lat total
0.0000 90.0000 -0.0390
0.0000 89.0000 -0.4249
0.0000 88.0000 -0.6039
0.0000 87.0000 -0.4070
0.0000 86.0000 0.1450
0.0000 85.0000 0.8708
0.0000 84.0000 1.5361
0.0000 83.0000 1.9672
0.0000 82.0000 2.1057
0.0000 81.0000 1.9895
0.0000 80.0000 1.6910
0.0000 79.0000 1.2608
0.0000 78.0000 0.7180
0.0000 77.0000 0.0864
0.0000 76.0000 -0.5567
0.0000 75.0000 -1.0698
0.0000 74.0000 -1.2958
0.0000 73.0000 -1.1486
0.0000 72.0000 -0.6787
0.0000 71.0000 -0.0679
0.0000 70.0000 0.4482
0.0000 69.0000 0.6860
0.0000 68.0000 0.5839
0.0000 67.0000 0.2093
0.0000 66.0000 -0.2839
0.0000 65.0000 -0.7110
0.0000 64.0000 -0.9092
0.0000 63.0000 -0.7878
0.0000 62.0000 -0.3763
0.0000 61.0000 0.1589
0.0000 60.0000 0.5691
0.0000 59.0000 0.6514
0.0000 58.0000 0.3822
0.0000 57.0000 -0.0479
0.0000 56.0000 -0.3488
0.0000 55.0000 -0.3335
0.0000 54.0000 -0.0559
0.0000 53.0000 0.2315
0.0000 52.0000 0.2823
0.0000 51.0000 0.0590
0.0000 50.0000 -0.2354
0.0000 49.0000 -0.3323
0.0000 48.0000 -0.1330
0.0000 47.0000 0.1991
0.0000 46.0000 0.3759
0.0000 45.0000 0.2363
0.0000 44.0000 -0.1079
0.0000 43.0000 -0.3640
0.0000 42.0000 -0.3119
0.0000 41.0000 0.0027
0.0000 40.0000 0.3079
0.0000 39.0000 0.3430
0.0000 38.0000 0.0856
0.0000 37.0000 -0.2337
0.0000 36.0000 -0.3378
0.0000 35.0000 -0.1464
0.0000 34.0000 0.1605
0.0000 33.0000 0.3105
0.0000 32.0000 0.1813
0.0000 31.0000 -0.0980
0.0000 30.0000 -0.2732
0.0000 29.0000 -0.1963
0.0000 28.0000 0.0488
0.0000 27.0000 0.2336
0.0000 26.0000 0.1976
0.0000 25.0000 -0.0124
0.0000 24.0000 -0.1962
0.0000 23.0000 -0.1904
0.0000 22.0000 -0.0133
0.0000 21.0000 0.1629
0.0000 20.0000 0.1784
0.0000 19.0000 0.0305
0.0000 18.0000 -0.1344
0.0000 17.0000 -0.1642
0.0000 16.0000 -0.0412
0.0000 15.0000 0.1106
0.0000 14.0000 0.1493
0.0000 13.0000 0.0472
0.0000 12.0000 -0.0910
0.0000 11.0000 -0.1347
0.0000 10.0000 -0.0499
0.0000 9.0000 0.0751
0.0000 8.0000 0.1208
0.0000 7.0000 0.0501
0.0000 6.0000 -0.0623
0.0000 5.0000 -0.1080
0.0000 4.0000 -0.0487
0.0000 3.0000 0.0521
0.0000 2.0000 0.0963
0.0000 1.0000 0.0462
0.0000 0.0000 -0.0440
0.0000 -1.0000 -0.0858
0.0000 -2.0000 -0.0430
0.0000 -3.0000 0.0377
0.0000 -4.0000 0.0765
0.0000 -5.0000 0.0393
0.0000 -6.0000 -0.0328
0.0000 -7.0000 -0.0681
0.0000 -8.0000 -0.0354
0.0000 -9.0000 0.0291
0.0000 -10.0000 0.0608
0.0000 -11.0000 0.0313
0.0000 -12.0000 -0.0264
0.0000 -13.0000 -0.0543
0.0000 -14.0000 -0.0272
0.0000 -15.0000 0.0246
0.0000 -16.0000 0.0486
0.0000 -17.0000 0.0231
0.0000 -18.0000 -0.0235
0.0000 -19.0000 -0.0437
0.0000 -20.0000 -0.0192
0.0000 -21.0000 0.0230
0.0000 -22.0000 0.0395
0.0000 -23.0000 0.0153
0.0000 -24.0000 -0.0230
0.0000 -25.0000 -0.0359
0.0000 -26.0000 -0.0116
0.0000 -27.0000 0.0235
0.0000 -28.0000 0.0330
0.0000 -29.0000 0.0081
0.0000 -30.0000 -0.0245
0.0000 -31.0000 -0.0307
0.0000 -32.0000 -0.0047
0.0000 -33.0000 0.0258
0.0000 -34.0000 0.0290
0.0000 -35.0000 0.0016
0.0000 -36.0000 -0.0276
0.0000 -37.0000 -0.0280
0.0000 -38.0000 0.0012
0.0000 -39.0000 0.0297
0.0000 -40.0000 0.0276
0.0000 -41.0000 -0.0036
0.0000 -42.0000 -0.0321
0.0000 -43.0000 -0.0280
0.0000 -44.0000 0.0056
0.0000 -45.0000 0.0348
0.0000 -46.0000 0.0292
0.0000 -47.0000 -0.0069
0.0000 -48.0000 -0.0378
0.0000 -49.0000 -0.0313
0.0000 -50.0000 0.0076
0.0000 -51.0000 0.0408
0.0000 -52.0000 0.0344
0.0000 -53.0000 -0.0072
0.0000 -54.0000 -0.0439
0.0000 -55.0000 -0.0386
0.0000 -56.0000 0.0055
0.0000 -57.0000 0.0465
0.0000 -58.0000 0.0438
0.0000 -59.0000 -0.0022
0.0000 -60.0000 -0.0485
0.0000 -61.0000 -0.0501
0.0000 -62.0000 -0.0033
0.0000 -63.0000 0.0492
0.0000 -64.0000 0.0573
0.0000 -65.0000 0.0113
0.0000 -66.0000 -0.0476
0.0000 -67.0000 -0.0647
0.0000 -68.0000 -0.0224
0.0000 -69.0000 0.0425
0.0000 -70.0000 0.0713
0.0000 -71.0000 0.0366
0.0000 -72.0000 -0.0324
0.0000 -73.0000 -0.0752
0.0000 -74.0000 -0.0533
0.0000 -75.0000 0.0156
0.0000 -76.0000 0.0731
0.0000 -77.0000 0.0702
0.0000 -78.0000 0.0088
0.0000 -79.0000 -0.0607
0.0000 -80.0000 -0.0821
0.0000 -81.0000 -0.0389
0.0000 -82.0000 0.0339
0.0000 -83.0000 0.0798
0.0000 -84.0000 0.0658
0.0000 -85.0000 0.0053
0.0000 -86.0000 -0.0550
0.0000 -87.0000 -0.0725
0.0000 -88.0000 -0.0384
0.0000 -89.0000 0.0194
0.0000 -90.0000 0.0593
1.0000 90.0000 -0.0390
1.0000 89.0000 -0.4226
1.0000 88.0000 -0.6111
1.0000 87.0000 -0.4426
1.0000 86.0000 0.0683
1.0000 85.0000 0.7556
1.0000 84.0000 1.4002
1.0000 83.0000 1.8323
1.0000 82.0000 1.9837
1.0000 81.0000 1.8751
1.0000 80.0000 1.5646
1.0000 79.0000 1.1032
1.0000 78.0000 0.5276
1.0000 77.0000 -0.1092
1.0000 76.0000 -0.7044
1.0000 75.0000 -1.1112
1.0000 74.0000 -1.1961
