lon lat total
0.0000 90.0000 -0.0252
0.0000 89.0000 0.0180
0.0000 88.0000 0.0480
0.0000 87.0000 0.0329
0.0000 86.0000 -0.0174
0.0000 85.0000 -0.0571
0.0000 84.0000 -0.0452
0.0000 83.0000 0.0134
0.0000 82.0000 0.0682
0.0000 81.0000 0.0655
0.0000 80.0000 -0.0007
0.0000 79.0000 -0.0786
0.0000 78.0000 -0.0992
0.0000 77.0000 -0.0347
0.0000 76.0000 0.0737
0.0000 75.0000 0.1454
0.0000 74.0000 0.1210
0.0000 73.0000 0.0061
0.0000 72.0000 -0.1358
0.0000 71.0000 -0.2306
0.0000 70.0000 -0.2410
0.0000 69.0000 -0.1808
0.0000 68.0000 -0.0944
0.0000 67.0000 -0.0259
0.0000 66.0000 -0.0023
0.0000 65.0000 -0.0323
0.0000 64.0000 -0.1085
0.0000 63.0000 -0.2033
0.0000 62.0000 -0.2694
0.0000 61.0000 -0.2573
0.0000 60.0000 -0.1503
0.0000 59.0000 0.0112
0.0000 58.0000 0.1444
0.0000 57.0000 0.1750
0.0000 56.0000 0.0931
0.0000 55.0000 -0.0365
0.0000 54.0000 -0.1195
0.0000 53.0000 -0.1024
0.0000 52.0000 -0.0112
0.0000 51.0000 0.0746
0.0000 50.0000 0.0881
0.0000 49.0000 0.0280
0.0000 48.0000 -0.0469
0.0000 47.0000 -0.0720
0.0000 46.0000 -0.0322
0.0000 45.0000 0.0305
0.0000 44.0000 0.0588
0.0000 43.0000 0.0316
0.0000 42.0000 -0.0208
0.0000 41.0000 -0.0486
0.0000 40.0000 -0.0293
0.0000 39.0000 0.0148
0.0000 38.0000 0.0409
0.0000 37.0000 0.0266
0.0000 36.0000 -0.0112
0.0000 35.0000 -0.0350
0.0000 34.0000 -0.0239
0.0000 33.0000 0.0088
0.0000 32.0000 0.0305
0.0000 31.0000 0.0215
0.0000 30.0000 -0.0073
0.0000 29.0000 -0.0269
0.0000 28.0000 -0.0193
0.0000 27.0000 0.0064
0.0000 26.0000 0.0241
0.0000 25.0000 0.0174
0.0000 24.0000 -0.0057
0.0000 23.0000 -0.0218
0.0000 22.0000 -0.0157
0.0000 21.0000 0.0053
0.0000 20.0000 0.0199
0.0000 19.0000 0.0142
0.0000 18.0000 -0.0051
0.0000 17.0000 -0.0183
0.0000 16.0000 -0.0129
0.0000 15.0000 0.0049
0.0000 14.0000 0.0170
0.0000 13.0000 0.0117
