lat lon r
90.0000 0.0000 0.0001
88.5124 0.0000 -0.0007
87.0248 0.0000 0.0007
85.5372 0.0000 -0.0004
84.0496 0.0000 -0.0002
82.5620 0.0000 0.0013
81.0744 0.0000 -0.0028
79.5868 0.0000 0.0044
78.0992 0.0000 -0.0055
76.6116 0.0000 0.0048
75.1240 0.0000 -0.0003
73.6364 0.0000 -0.0071
72.1488 0.0000 0.0066
70.6612 0.0000 0.0089
69.1736 0.0000 0.0071
67.6860 0.0000 0.0024
66.1983 0.0000 0.0028
64.7107 0.0000 0.0192
63.2231 0.0000 0.0285
61.7355 0.0000 -0.0046
60.2479 0.0000 -0.0136
58.7603 0.0000 0.0122
57.2727 0.0000 -0.0067
55.7851 0.0000 0.0028
54.2975 0.0000 -0.0002
52.8099 0.0000 -0.0017
51.3223 0.0000 0.0031
49.8347 0.0000 -0.0041
48.3471 0.0000 0.0047
46.8595 0.0000 -0.0049
45.3719 0.0000 0.0049
43.8843 0.0000 -0.0048
42.3967 0.0000 0.0044
40.9091 0.0000 -0.0040
39.4215 0.0000 0.0036
37.9339 0.0000 -0.0031
36.4463 0.0000 0.0027
34.9587 0.0000 -0.0023
33.4711 0.0000 0.0019
31.9835 0.0000 -0.0015
30.4959 0.0000 0.0011
29.0083 0.0000 -0.0008
27.5207 0.0000 0.0005
26.0331 0.0000 -0.0003
24.5455 0.0000 0.0000
23.0579 0.0000 0.0002
21.5702 0.0000 -0.0004
20.0826 0.0000 0.0005
18.5950 0.0000 -0.0007
17.1074 0.0000 0.0008
15.6198 0.0000 -0.0009
14.1322 0.0000 0.0010
12.6446 0.0000 -0.0011
11.1570 0.0000 0.0012
9.6694 0.0000 -0.0012
8.1818 0.0000 0.0013
6.6942 0.0000 -0.0013
5.2066 0.0000 0.0014
3.7190 0.0000 -0.0014
2.2314 0.0000 0.0014
0.7438 0.0000 -0.0014
-0.7438 0.0000 0.0014
-2.2314 0.0000 -0.0014
-3.7190 0.0000 0.0014
-5.2066 0.0000 -0.0014
-6.6942 0.0000 0.0014
-8.1818 0.0000 -0.0014
-9.6694 0.0000 0.0014
-11.1570 0.0000 -0.0014
-12.6446 0.0000 0.0014
-14.1322 0.0000 -0.0014
-15.6198 0.0000 0.0013
-17.1074 0.0000 -0.0013
-18.5950 0.0000 0.0013
-20.0826 0.0000 -0.0013
-21.5702 0.0000 0.0012
-23.0579 0.0000 -0.0012
-24.5455 0.0000 0.0012
-26.0331 0.0000 -0.0011
-27.5207 0.0000 0.0011
-29.0083 0.0000 -0.0011
-30.4959 0.0000 0.0010
-31.9835 0.0000 -0.0010
-33.4711 0.0000 0.0010
-34.9587 0.0000 -0.0009
-36.4463 0.0000 0.0009
-37.9339 0.0000 -0.0008
-39.4215 0.0000 0.0008
-40.9091 0.0000 -0.0007
-42.3967 0.0000 0.0007
-43.8843 0.0000 -0.0007
-45.3719 0.0000 0.0006
-46.8595 0.0000 -0.0006
-48.3471 0.0000 0.0005
-49.8347 0.0000 -0.0005
-51.3223 0.0000 0.0004
-52.8099 0.0000 -0.0004
-54.2975 0.0000 0.0003
-55.7851 0.0000 -0.0003
-57.2727 0.0000 0.0002
-58.7603 0.0000 -0.0002
-60.2479 0.0000 0.0001
-61.7355 0.0000 -0.0000
-63.2231 0.0000 -0.0000
-64.7107 0.0000 0.0001
-66.1983 0.0000 -0.0001
-67.6860 0.0000 0.0002
-69.1736 0.0000 -0.0002
-70.6612 0.0000 0.0003
-72.1488 0.0000 -0.0003
-73.6364 0.0000 0.0003
-75.1240 0.0000 -0.0004
-76.6116 0.0000 0.0004
-78.0992 0.0000 -0.0004
-79.5868 0.0000 0.0005
-81.0744 0.0000 -0.0005
-82.5620 0.0000 0.0005
-84.0496 0.0000 -0.0004
-85.5372 0.0000 0.0004
-87.0248 0.0000 -0.0003
-88.5124 0.0000 0.0003
-90.0000 0.0000 -0.0001
90.0000 1.4938 0.0001
88.5124 1.4938 -0.0007
87.0248 1.4938 0.0006
85.5372 1.4938 -0.0002
84.0496 1.4938 -0.0006
82.5620 1.4938 0.0019
81.0744 1.4938 -0.0034
79.5868 1.4938 0.0046
78.0992 1.4938 -0.0047
76.6116 1.4938 0.0021
75.1240 1.4938 0.0038
73.6364 1.4938 -0.0080
72.1488 1.4938 -0.0004
70.6612 1.4938 0.0074
69.1736 1.4938 0.0136
67.6860 1.4938 0.0203
66.1983 1.4938 0.0266
64.7107 1.4938 0.0270
63.2231 1.4938 0.0033
61.7355 1.4938 -0.0212
60.2479 1.4938 0.0035
58.7603 1.4938 0.0081
57.2727 1.4938 -0.0094
55.7851 1.4938 0.0073
54.2975 1.4938 -0.0050
52.8099 1.4938 0.0031
51.3223 1.4938 -0.0015
49.8347 1.4938 0.0000
48.3471 1.4938 0.0012
46.8595 1.4938 -0.0022
45.3719 1.4938 0.0029
43.8843 1.4938 -0.0034
42.3967 1.4938 0.0037
40.9091 1.4938 -0.0038
39.4215 1.4938 0.0039
37.9339 1.4938 -0.0038
36.4463 1.4938 0.0036
34.9587 1.4938 -0.0034
33.4711 1.4938 0.0031
31.9835 1.4938 -0.0029
30.4959 1.4938 0.0026
29.0083 1.4938 -0.0023
27.5207 1.4938 0.0021
26.0331 1.4938 -0.0018
24.5455 1.4938 0.0016
23.0579 1.4938 -0.0013
21.5702 1.4938 0.0011
20.0826 1.4938 -0.0009
18.5950 1.4938 0.0007
17.1074 1.4938 -0.0005
15.6198 1.4938 0.0003
14.1322 1.4938 -0.0002
12.6446 1.4938 0.0000
11.1570 1.4938 0.0001
9.6694 1.4938 -0.0002
8.1818 1.4938 0.0003
6.6942 1.4938 -0.0004
5.2066 1.4938 0.0005
3.7190 1.4938 -0.0006
2.2314 1.4938 0.0007
0.7438 1.4938 -0.0008
-0.7438 1.4938 0.0008
-2.2314 1.4938 -0.0009
-3.7190 1.4938 0.0009
-5.2066 1.4938 -0.0010
-6.6942 1.4938 0.0010
-8.1818 1.4938 -0.0010
-9.6694 1.4938 0.0011
-11.1570 1.4938 -0.0011
-12.6446 1.4938 0.0011
-14.1322 1.4938 -0.0011
-15.6198 1.4938 0.0012
-17.1074 1.4938 -0.0012
-18.5950 1.4938 0.0012
-20.0826 1.4938 -0.0012
-21.5702 1.4938 0.0012
-23.0579 1.4938 -0.0012
-24.5455 1.4938 0.0012
-26.0331 1.4938 -0.0012
-27.5207 1.4938 0.0011
-29.0083 1.4938 -0.0011
-30.4959 1.4938 0.0011
-31.9835 1.4938 -0.0011
