L buffer Gt/yr
20.0000 0.0000 -150.1240
20.0000 0.5000 -174.5367
20.0000 1.0000 -211.2916
20.0000 1.5000 -230.7675
20.0000 2.0000 -248.4935
20.0000 2.5000 -263.5413
20.0000 3.0000 -278.4152
25.0000 0.0000 -160.1178
25.0000 0.5000 -184.4697
25.0000 1.0000 -205.8592
25.0000 1.5000 -230.6995
25.0000 2.0000 -248.9273
25.0000 2.5000 -265.9892
25.0000 3.0000 -293.4497
30.0000 0.0000 -153.9550
30.0000 0.5000 -182.3968
30.0000 1.0000 -209.9380
30.0000 1.5000 -238.4904
30.0000 2.0000 -266.5171
30.0000 2.5000 -289.7727
30.0000 3.0000 -312.1525
35.0000 0.0000 -151.3883
35.0000 0.5000 -182.7909
35.0000 1.0000 -209.8764
35.0000 1.5000 -258.6007
35.0000 2.0000 -282.4911
35.0000 2.5000 -302.7520
35.0000 3.0000 -321.8411
40.0000 0.0000 -147.1905
40.0000 0.5000 -205.0347
40.0000 1.0000 -238.6727
40.0000 1.5000 -266.1012
40.0000 2.0000 -290.0639
40.0000 2.5000 -314.6970
40.0000 3.0000 -325.6961
45.0000 0.0000 -154.9444
45.0000 0.5000 -211.6966
45.0000 1.0000 -246.3276
45.0000 1.5000 -281.1044
45.0000 2.0000 -304.4792
45.0000 2.5000 -321.8443
45.0000 3.0000 -333.5956
50.0000 0.0000 -169.5110
50.0000 0.5000 -216.2730
50.0000 1.0000 -263.9637
50.0000 1.5000 -291.0116
50.0000 2.0000 -313.4939
50.0000 2.5000 -326.6792
50.0000 3.0000 -327.8404
55.0000 0.0000 -174.5915
55.0000 0.5000 -236.9486
55.0000 1.0000 -270.4103
55.0000 1.5000 -299.7349
55.0000 2.0000 -308.9490
55.0000 2.5000 -316.9788
55.0000 3.0000 -317.4206
60.0000 0.0000 -189.4438
60.0000 0.5000 -240.4342
60.0000 1.0000 -274.9254
60.0000 1.5000 -291.4376
60.0000 2.0000 -304.7765
60.0000 2.5000 -309.6410
60.0000 3.0000 -307.6941
