L buffer Gt/yr
20.0000 0.0000 -150.1305
20.0000 0.5000 -174.5444
20.0000 1.0000 -211.3007
20.0000 1.5000 -230.7777
20.0000 2.0000 -248.5045
20.0000 2.5000 -263.5546
20.0000 3.0000 -278.4296
25.0000 0.0000 -160.1246
25.0000 0.5000 -184.4780
25.0000 1.0000 -205.8685
25.0000 1.5000 -230.7100
25.0000 2.0000 -248.9388
25.0000 2.5000 -266.0018
25.0000 3.0000 -293.4644
30.0000 0.0000 -153.9617
30.0000 0.5000 -182.4048
30.0000 1.0000 -209.9470
30.0000 1.5000 -238.5008
30.0000 2.0000 -266.5289
30.0000 2.5000 -289.7858
30.0000 3.0000 -312.1679
35.0000 0.0000 -151.3949
35.0000 0.5000 -182.7987
35.0000 1.0000 -209.8855
35.0000 1.5000 -258.6119
35.0000 2.0000 -282.5036
35.0000 2.5000 -302.7658
35.0000 3.0000 -321.8562
40.0000 0.0000 -147.1970
40.0000 0.5000 -205.0432
40.0000 1.0000 -238.6825
40.0000 1.5000 -266.1122
40.0000 2.0000 -290.0761
40.0000 2.5000 -314.7107
40.0000 3.0000 -325.7111
45.0000 0.0000 -154.9510
45.0000 0.5000 -211.7051
45.0000 1.0000 -246.3373
45.0000 1.5000 -281.1155
45.0000 2.0000 -304.4917
45.0000 2.5000 -321.8580
45.0000 3.0000 -333.6108
50.0000 0.0000 -169.5179
50.0000 0.5000 -216.2813
50.0000 1.0000 -263.9737
50.0000 1.5000 -291.0226
50.0000 2.0000 -313.5062
50.0000 2.5000 -326.6929
50.0000 3.0000 -327.8557
55.0000 0.0000 -174.5984
55.0000 0.5000 -236.9571
55.0000 1.0000 -270.4200
55.0000 1.5000 -299.7459
55.0000 2.0000 -308.9615
55.0000 2.5000 -316.9928
55.0000 3.0000 -317.4359
60.0000 0.0000 -189.4509
60.0000 0.5000 -240.4426
60.0000 1.0000 -274.9351
60.0000 1.5000 -291.4486
60.0000 2.0000 -304.7892
60.0000 2.5000 -309.6550
60.0000 3.0000 -307.7096
