L buffer Gt/yr
20.0000 0.0000 -129.7379
20.0000 0.5000 -150.5820
20.0000 1.0000 -180.4776
20.0000 1.5000 -196.9441
20.0000 2.0000 -211.9396
20.0000 2.5000 -224.3713
20.0000 3.0000 -236.7985
25.0000 0.0000 -134.9743
25.0000 0.5000 -156.3506
25.0000 1.0000 -174.5430
25.0000 1.5000 -197.1822
25.0000 2.0000 -212.9943
25.0000 2.5000 -228.2807
25.0000 3.0000 -250.7019
30.0000 0.0000 -130.1814
30.0000 0.5000 -154.8288
30.0000 1.0000 -180.1560
30.0000 1.5000 -203.3518
30.0000 2.0000 -228.1123
30.0000 2.5000 -248.5949
30.0000 3.0000 -268.8692
35.0000 0.0000 -128.9230
35.0000 0.5000 -154.2086
35.0000 1.0000 -177.3605
35.0000 1.5000 -221.7503
35.0000 2.0000 -242.8049
35.0000 2.5000 -260.6845
35.0000 3.0000 -277.3695
40.0000 0.0000 -124.8394
40.0000 0.5000 -174.2399
40.0000 1.0000 -204.8316
40.0000 1.5000 -229.4144
40.0000 2.0000 -250.3237
40.0000 2.5000 -272.4645
40.0000 3.0000 -282.1121
45.0000 0.0000 -129.1520
45.0000 0.5000 -180.9417
45.0000 1.0000 -211.2655
45.0000 1.5000 -242.3647
45.0000 2.0000 -262.9352
45.0000 2.5000 -278.3906
45.0000 3.0000 -288.0591
50.0000 0.0000 -144.1971
50.0000 0.5000 -184.1379
50.0000 1.0000 -227.1958
50.0000 1.5000 -251.2372
50.0000 2.0000 -271.6199
50.0000 2.5000 -283.6817
50.0000 3.0000 -284.7261
55.0000 0.0000 -146.9008
55.0000 0.5000 -203.1446
55.0000 1.0000 -233.3942
55.0000 1.5000 -260.8035
55.0000 2.0000 -269.1093
55.0000 2.5000 -275.6197
55.0000 3.0000 -274.9036
60.0000 0.0000 -161.1528
60.0000 0.5000 -207.5068
60.0000 1.0000 -239.3323
60.0000 1.5000 -254.2773
60.0000 2.0000 -265.1882
60.0000 2.5000 -269.3650
60.0000 3.0000 -265.8265
