L buffer Gt/yr
20.0000 0.0000 0.0000
20.0000 0.5000 0.0000
20.0000 1.0000 0.0000
20.0000 1.5000 0.0000
20.0000 2.0000 -9.8648
20.0000 2.5000 -12.7951
20.0000 3.0000 -16.1163
25.0000 0.0000 0.0000
25.0000 0.5000 0.0000
25.0000 1.0000 0.0000
25.0000 1.5000 -8.2058
25.0000 2.0000 -10.9395
25.0000 2.5000 -14.0056
25.0000 3.0000 -17.3784
30.0000 0.0000 0.0000
30.0000 0.5000 0.0000
30.0000 1.0000 -6.1901
30.0000 1.5000 -8.6210
30.0000 2.0000 -11.3452
30.0000 2.5000 -14.3147
30.0000 3.0000 -17.4798
35.0000 0.0000 0.0000
35.0000 0.5000 -5.0396
35.0000 1.0000 -7.4411
35.0000 1.5000 -10.0735
35.0000 2.0000 -12.8707
35.0000 2.5000 -15.7536
35.0000 3.0000 -18.6650
40.0000 0.0000 0.0000
40.0000 0.5000 -5.2774
40.0000 1.0000 -7.7086
40.0000 1.5000 -10.3075
40.0000 2.0000 -12.9872
40.0000 2.5000 -15.6560
40.0000 3.0000 -18.3445
45.0000 0.0000 0.0000
45.0000 0.5000 -4.0104
45.0000 1.0000 -6.0851
45.0000 1.5000 -8.4155
45.0000 2.0000 -10.8920
45.0000 2.5000 -13.4514
45.0000 3.0000 -17.5549
50.0000 0.0000 -2.0426
50.0000 0.5000 -3.9140
50.0000 1.0000 -5.8892
50.0000 1.5000 -8.0619
50.0000 2.0000 -10.3167
50.0000 2.5000 -14.4796
50.0000 3.0000 -15.8227
55.0000 0.0000 -3.2453
55.0000 0.5000 -5.4080
55.0000 1.0000 -7.4324
55.0000 1.5000 -9.3190
55.0000 2.0000 -12.1574
55.0000 2.5000 -13.7030
55.0000 3.0000 -20.2229
60.0000 0.0000 -4.5401
60.0000 0.5000 -7.0717
60.0000 1.0000 -9.0681
60.0000 1.5000 -10.6114
60.0000 2.0000 -12.1898
60.0000 2.5000 -14.9334
60.0000 3.0000 -17.6087
