L buffer Gt/yr
20.0000 0.0000 0.0000
20.0000 0.5000 0.0000
20.0000 1.0000 0.0000
20.0000 1.5000 0.0000
20.0000 2.0000 -10.4778
20.0000 2.5000 -13.5566
20.0000 3.0000 -17.0329
25.0000 0.0000 0.0000
25.0000 0.5000 0.0000
25.0000 1.0000 0.0000
25.0000 1.5000 -8.5000
25.0000 2.0000 -11.3317
25.0000 2.5000 -14.5072
25.0000 3.0000 -17.9993
30.0000 0.0000 0.0000
30.0000 0.5000 0.0000
30.0000 1.0000 -6.3605
30.0000 1.5000 -8.8656
30.0000 2.0000 -11.6765
30.0000 2.5000 -14.7437
30.0000 3.0000 -18.0158
35.0000 0.0000 0.0000
35.0000 0.5000 -5.1154
35.0000 1.0000 -7.5667
35.0000 1.5000 -10.2624
35.0000 2.0000 -13.1360
35.0000 2.5000 -16.1064
35.0000 3.0000 -19.1140
40.0000 0.0000 0.0000
40.0000 0.5000 -5.2871
40.0000 1.0000 -7.7464
40.0000 1.5000 -10.3906
40.0000 2.0000 -13.1326
40.0000 2.5000 -15.8777
40.0000 3.0000 -18.6544
45.0000 0.0000 0.0000
45.0000 0.5000 -4.0972
45.0000 1.0000 -6.2119
45.0000 1.5000 -8.5886
45.0000 2.0000 -11.1179
45.0000 2.5000 -13.7336
45.0000 3.0000 -17.9636
50.0000 0.0000 -2.1674
50.0000 0.5000 -4.0964
50.0000 1.0000 -6.1268
50.0000 1.5000 -8.3489
50.0000 2.0000 -10.6436
50.0000 2.5000 -14.8410
50.0000 3.0000 -16.2101
55.0000 0.0000 -3.4162
55.0000 0.5000 -5.6657
55.0000 1.0000 -7.7535
55.0000 1.5000 -9.6829
55.0000 2.0000 -12.5010
55.0000 2.5000 -14.0594
55.0000 3.0000 -20.5972
60.0000 0.0000 -4.7146
60.0000 0.5000 -7.3458
60.0000 1.0000 -9.4065
60.0000 1.5000 -10.9882
60.0000 2.0000 -12.5555
60.0000 2.5000 -15.2824
60.0000 3.0000 -17.9752
