L buffer Gt/yr
20.0000 0.0000 135.4284
20.0000 0.5000 154.5298
20.0000 1.0000 171.1984
20.0000 1.5000 183.5309
20.0000 2.0000 194.4260
20.0000 2.5000 210.0423
20.0000 3.0000 219.0892
25.0000 0.0000 151.0659
25.0000 0.5000 173.0198
25.0000 1.0000 187.1202
25.0000 1.5000 199.9396
25.0000 2.0000 210.2607
25.0000 2.5000 219.4541
25.0000 3.0000 223.5503
30.0000 0.0000 159.9723
30.0000 0.5000 178.7642
30.0000 1.0000 193.7801
30.0000 1.5000 204.7410
30.0000 2.0000 212.4824
30.0000 2.5000 218.2427
30.0000 3.0000 219.7340
35.0000 0.0000 163.6957
35.0000 0.5000 181.9843
35.0000 1.0000 196.4402
35.0000 1.5000 207.5927
35.0000 2.0000 214.0737
35.0000 2.5000 218.3938
35.0000 3.0000 220.4744
40.0000 0.0000 165.6765
40.0000 0.5000 189.4592
40.0000 1.0000 202.0725
40.0000 1.5000 210.7028
40.0000 2.0000 216.2855
40.0000 2.5000 217.5784
40.0000 3.0000 217.7833
45.0000 0.0000 168.8040
45.0000 0.5000 192.3541
45.0000 1.0000 204.0312
45.0000 1.5000 211.0150
45.0000 2.0000 214.7824
45.0000 2.5000 216.2500
45.0000 3.0000 214.5876
50.0000 0.0000 174.3765
50.0000 0.5000 193.4280
50.0000 1.0000 205.7443
50.0000 1.5000 212.5539
50.0000 2.0000 215.4227
50.0000 2.5000 214.9421
50.0000 3.0000 212.0110
55.0000 0.0000 175.6639
55.0000 0.5000 197.1650
55.0000 1.0000 207.6519
55.0000 1.5000 213.0677
55.0000 2.0000 214.6262
55.0000 2.5000 212.3003
55.0000 3.0000 209.0518
60.0000 0.0000 179.9130
60.0000 0.5000 199.0194
60.0000 1.0000 208.7346
60.0000 1.5000 213.7942
60.0000 2.0000 212.2092
60.0000 2.5000 209.8277
60.0000 3.0000 205.9807
