L buffer Gt/yr
20.0000 0.0000 135.5445
20.0000 0.5000 154.6785
20.0000 1.0000 172.0950
20.0000 1.5000 184.5487
20.0000 2.0000 195.5470
20.0000 2.5000 209.9978
20.0000 3.0000 218.9481
25.0000 0.0000 151.2525
25.0000 0.5000 172.5733
25.0000 1.0000 186.5823
25.0000 1.5000 199.1293
25.0000 2.0000 209.3218
25.0000 2.5000 218.4229
25.0000 3.0000 222.5769
30.0000 0.0000 159.8356
30.0000 0.5000 178.4445
30.0000 1.0000 193.3102
30.0000 1.5000 204.3326
30.0000 2.0000 211.9997
30.0000 2.5000 217.6513
30.0000 3.0000 218.8151
35.0000 0.0000 163.3712
35.0000 0.5000 181.6584
35.0000 1.0000 195.8947
35.0000 1.5000 206.7337
35.0000 2.0000 213.0235
35.0000 2.5000 217.1856
35.0000 3.0000 219.1919
40.0000 0.0000 165.2072
40.0000 0.5000 188.9426
40.0000 1.0000 201.3593
40.0000 1.5000 209.8290
40.0000 2.0000 215.2737
40.0000 2.5000 216.4008
40.0000 3.0000 216.6706
45.0000 0.0000 168.7502
45.0000 0.5000 192.1505
45.0000 1.0000 203.7860
45.0000 1.5000 210.5839
45.0000 2.0000 214.4497
45.0000 2.5000 215.9029
45.0000 3.0000 214.0130
50.0000 0.0000 174.2591
50.0000 0.5000 193.4159
50.0000 1.0000 205.4051
50.0000 1.5000 212.1344
50.0000 2.0000 214.8946
50.0000 2.5000 214.1417
50.0000 3.0000 210.6941
55.0000 0.0000 175.8009
55.0000 0.5000 196.9635
55.0000 1.0000 207.3304
55.0000 1.5000 212.5375
55.0000 2.0000 213.6169
55.0000 2.5000 211.1087
55.0000 3.0000 207.7141
60.0000 0.0000 179.9836
60.0000 0.5000 198.8135
60.0000 1.0000 208.2818
60.0000 1.5000 212.8794
60.0000 2.0000 210.8599
60.0000 2.5000 208.1240
60.0000 3.0000 204.6471
