L buffer Gt/yr
20.0000 0.0000 0.0000
20.0000 0.5000 0.0000
20.0000 1.0000 0.0000
20.0000 1.5000 0.0000
20.0000 2.0000 84.4150
20.0000 2.5000 103.9827
20.0000 3.0000 124.0852
25.0000 0.0000 0.0000
25.0000 0.5000 0.0000
25.0000 1.0000 0.0000
25.0000 1.5000 94.1387
25.0000 2.0000 118.8630
25.0000 2.5000 143.8020
25.0000 3.0000 168.2396
30.0000 0.0000 0.0000
30.0000 0.5000 0.0000
30.0000 1.0000 93.4509
30.0000 1.5000 122.9834
30.0000 2.0000 152.4053
30.0000 2.5000 180.6145
30.0000 3.0000 206.7010
35.0000 0.0000 0.0000
35.0000 0.5000 82.3809
35.0000 1.0000 116.5827
35.0000 1.5000 150.5795
35.0000 2.0000 182.7542
35.0000 2.5000 211.8222
35.0000 3.0000 236.9984
40.0000 0.0000 0.0000
40.0000 0.5000 99.9387
40.0000 1.0000 138.8857
40.0000 1.5000 175.7320
40.0000 2.0000 208.6140
40.0000 2.5000 236.4438
40.0000 3.0000 259.0741
45.0000 0.0000 0.0000
45.0000 0.5000 116.6887
45.0000 1.0000 159.0459
45.0000 1.5000 196.9830
45.0000 2.0000 228.7893
45.0000 2.5000 254.1596
45.0000 3.0000 270.2053
50.0000 0.0000 74.4825
50.0000 0.5000 132.1002
50.0000 1.0000 176.4334
50.0000 1.5000 213.9129
50.0000 2.0000 243.6412
50.0000 2.5000 262.4385
50.0000 3.0000 275.9415
55.0000 0.0000 83.9455
55.0000 0.5000 145.9185
55.0000 1.0000 190.8997
55.0000 1.5000 227.0499
55.0000 2.0000 250.8825
55.0000 2.5000 267.2472
55.0000 3.0000 230.5431
60.0000 0.0000 92.6333
60.0000 0.5000 157.7348
60.0000 1.0000 202.2358
60.0000 1.5000 236.1801
60.0000 2.0000 255.7663
60.0000 2.5000 231.4134
60.0000 3.0000 215.4267
