L buffer Gt/yr
20.0000 0.0000 131.5317
20.0000 0.5000 149.9730
20.0000 1.0000 165.7222
20.0000 1.5000 177.5297
20.0000 2.0000 187.9445
20.0000 2.5000 202.3752
20.0000 3.0000 210.8932
25.0000 0.0000 146.2164
25.0000 0.5000 167.1932
25.0000 1.0000 180.6027
25.0000 1.5000 192.6337
25.0000 2.0000 202.3656
25.0000 2.5000 210.9920
25.0000 3.0000 214.3494
30.0000 0.0000 154.7624
30.0000 0.5000 172.7154
30.0000 1.0000 186.8298
30.0000 1.5000 196.8751
30.0000 2.0000 203.9956
30.0000 2.5000 209.1735
30.0000 3.0000 209.9395
35.0000 0.0000 158.1848
35.0000 0.5000 175.2418
35.0000 1.0000 188.5062
35.0000 1.5000 198.6127
35.0000 2.0000 204.3503
35.0000 2.5000 208.1072
35.0000 3.0000 209.7928
40.0000 0.0000 159.8181
40.0000 0.5000 181.8848
40.0000 1.0000 193.5533
40.0000 1.5000 201.4027
40.0000 2.0000 206.4281
40.0000 2.5000 207.6152
40.0000 3.0000 207.7837
45.0000 0.0000 162.8096
45.0000 0.5000 184.8864
45.0000 1.0000 195.6357
45.0000 1.5000 202.1786
45.0000 2.0000 205.2473
45.0000 2.5000 206.4014
45.0000 3.0000 204.5563
50.0000 0.0000 168.2413
50.0000 0.5000 186.0874
50.0000 1.0000 197.4746
50.0000 1.5000 203.6701
50.0000 2.0000 206.1632
50.0000 2.5000 205.2907
50.0000 3.0000 202.1428
55.0000 0.0000 169.8084
55.0000 0.5000 189.8773
55.0000 1.0000 199.5416
55.0000 1.5000 204.1098
55.0000 2.0000 204.9131
55.0000 2.5000 202.1439
55.0000 3.0000 198.7990
60.0000 0.0000 174.1087
60.0000 0.5000 192.0255
60.0000 1.0000 200.7578
60.0000 1.5000 204.6778
60.0000 2.0000 202.4272
60.0000 2.5000 199.5904
60.0000 3.0000 195.5729
