L buffer Gt/yr
20.0000 0.0000 0.0000
20.0000 0.5000 0.0000
20.0000 1.0000 0.0000
20.0000 1.5000 0.0000
20.0000 2.0000 2.0909
20.0000 2.5000 3.1585
20.0000 3.0000 4.5357
25.0000 0.0000 0.0000
25.0000 0.5000 0.0000
25.0000 1.0000 0.0000
25.0000 1.5000 -1.2093
25.0000 2.0000 -1.0047
25.0000 2.5000 -0.5079
25.0000 3.0000 0.3269
30.0000 0.0000 0.0000
30.0000 0.5000 0.0000
30.0000 1.0000 -1.2388
30.0000 1.5000 -1.3125
30.0000 2.0000 -1.1668
30.0000 2.5000 -0.7597
30.0000 3.0000 -0.0639
35.0000 0.0000 0.0000
35.0000 0.5000 -0.9152
35.0000 1.0000 -1.1459
35.0000 1.5000 -1.2324
35.0000 2.0000 -1.1267
35.0000 2.5000 -0.7992
35.0000 3.0000 -0.2374
40.0000 0.0000 0.0000
40.0000 0.5000 -0.6740
40.0000 1.0000 -0.8596
40.0000 1.5000 -0.9323
40.0000 2.0000 -0.8538
40.0000 2.5000 -0.6030
40.0000 3.0000 -0.1651
45.0000 0.0000 0.0000
45.0000 0.5000 -0.3160
45.0000 1.0000 -0.4117
45.0000 1.5000 -0.4431
45.0000 2.0000 -0.3808
45.0000 2.5000 -0.2087
45.0000 3.0000 0.1606
50.0000 0.0000 -0.2747
50.0000 0.5000 -0.4356
50.0000 1.0000 -0.5327
50.0000 1.5000 -0.5601
50.0000 2.0000 -0.5025
50.0000 2.5000 -0.0460
50.0000 3.0000 0.2030
55.0000 0.0000 -0.3478
55.0000 0.5000 -0.5799
55.0000 1.0000 -0.6998
55.0000 1.5000 -0.7468
55.0000 2.0000 -0.4629
55.0000 2.5000 -0.2438
55.0000 3.0000 1.5502
60.0000 0.0000 -0.1017
60.0000 0.5000 -0.2905
60.0000 1.0000 -0.4144
60.0000 1.5000 -0.5231
60.0000 2.0000 -0.4991
60.0000 2.5000 0.1782
60.0000 3.0000 1.0311
