L buffer Gt/yr
20.0000 0.0000 2.2990
20.0000 0.5000 4.9532
20.0000 1.0000 -5.0142
20.0000 1.5000 -3.0217
20.0000 2.0000 -0.3658
20.0000 2.5000 2.7071
20.0000 3.0000 5.2547
25.0000 0.0000 -23.6489
25.0000 0.5000 -22.5535
25.0000 1.0000 -21.3631
25.0000 1.5000 -9.2957
25.0000 2.0000 -4.9912
25.0000 2.5000 -3.2316
25.0000 3.0000 21.1124
30.0000 0.0000 -19.7784
30.0000 0.5000 -17.1195
30.0000 1.0000 -15.8269
30.0000 1.5000 -9.0127
30.0000 2.0000 -2.1748
30.0000 2.5000 7.1263
30.0000 3.0000 40.1662
35.0000 0.0000 -14.2306
35.0000 0.5000 -14.7104
35.0000 1.0000 -11.1259
35.0000 1.5000 -1.4959
35.0000 2.0000 -0.5856
35.0000 2.5000 5.9687
35.0000 3.0000 20.2810
40.0000 0.0000 -8.1919
40.0000 0.5000 -12.0907
40.0000 1.0000 -11.9508
40.0000 1.5000 -9.7884
40.0000 2.0000 -6.5959
40.0000 2.5000 2.7548
40.0000 3.0000 2.8324
45.0000 0.0000 -9.6533
45.0000 0.5000 -8.7879
45.0000 1.0000 -11.4804
45.0000 1.5000 -11.8329
45.0000 2.0000 -4.9723
45.0000 2.5000 2.8153
45.0000 3.0000 3.3377
50.0000 0.0000 -2.4070
50.0000 0.5000 -8.0506
50.0000 1.0000 -17.5970
50.0000 1.5000 -17.9165
50.0000 2.0000 -18.4789
50.0000 2.5000 -18.3610
50.0000 3.0000 0.2467
55.0000 0.0000 -5.1229
55.0000 0.5000 -17.1576
55.0000 1.0000 -19.2972
55.0000 1.5000 -18.5157
55.0000 2.0000 -17.1009
55.0000 2.5000 -13.8428
55.0000 3.0000 -6.1965
60.0000 0.0000 -8.1880
60.0000 0.5000 -10.4351
60.0000 1.0000 -5.7360
60.0000 1.5000 -10.8981
60.0000 2.0000 -11.0921
60.0000 2.5000 -2.7758
60.0000 3.0000 10.4387
