L buffer Gt/yr
20.0000 0.0000 0.0000
20.0000 0.5000 0.0000
20.0000 1.0000 0.0000
20.0000 1.5000 0.0000
20.0000 2.0000 85.0321
20.0000 2.5000 104.7682
20.0000 3.0000 125.0555
25.0000 0.0000 0.0000
25.0000 0.5000 0.0000
25.0000 1.0000 0.0000
25.0000 1.5000 94.3642
25.0000 2.0000 119.1847
25.0000 2.5000 144.2397
25.0000 3.0000 168.8136
30.0000 0.0000 0.0000
30.0000 0.5000 0.0000
30.0000 1.0000 93.6964
30.0000 1.5000 123.3258
30.0000 2.0000 152.8576
30.0000 2.5000 181.1883
30.0000 3.0000 207.4068
35.0000 0.0000 0.0000
35.0000 0.5000 82.7136
35.0000 1.0000 117.0541
35.0000 1.5000 151.1917
35.0000 2.0000 183.5046
35.0000 2.5000 212.7046
35.0000 3.0000 238.0049
40.0000 0.0000 0.0000
40.0000 0.5000 100.2290
40.0000 1.0000 139.3001
40.0000 1.5000 176.2750
40.0000 2.0000 209.2850
40.0000 2.5000 237.2384
40.0000 3.0000 259.9890
45.0000 0.0000 0.0000
45.0000 0.5000 116.9540
45.0000 1.0000 159.4281
45.0000 1.5000 197.4884
45.0000 2.0000 229.4188
45.0000 2.5000 254.9121
45.0000 3.0000 270.9608
50.0000 0.0000 74.6013
50.0000 0.5000 132.2959
50.0000 1.0000 176.7360
50.0000 1.5000 214.3370
50.0000 2.0000 244.1954
50.0000 2.5000 263.0865
50.0000 3.0000 276.6279
55.0000 0.0000 84.0308
55.0000 0.5000 146.0669
55.0000 1.0000 191.1444
55.0000 1.5000 227.4075
55.0000 2.0000 251.3646
55.0000 2.5000 267.8527
55.0000 3.0000 231.6830
60.0000 0.0000 92.8786
60.0000 0.5000 158.1128
60.0000 1.0000 202.7166
60.0000 1.5000 236.7349
60.0000 2.0000 256.3417
60.0000 2.5000 232.2611
60.0000 3.0000 216.4179
