L buffer Gt/yr
20.0000 0.0000 0.0000
20.0000 0.5000 0.0000
20.0000 1.0000 0.0000
20.0000 1.5000 0.0000
20.0000 2.0000 84.3143
20.0000 2.5000 103.8734
20.0000 3.0000 123.9744
25.0000 0.0000 0.0000
25.0000 0.5000 0.0000
25.0000 1.0000 0.0000
25.0000 1.5000 94.0127
25.0000 2.0000 118.7142
25.0000 2.5000 143.6359
25.0000 3.0000 168.0637
30.0000 0.0000 0.0000
30.0000 0.5000 0.0000
30.0000 1.0000 93.5231
30.0000 1.5000 123.0699
30.0000 2.0000 152.5026
30.0000 2.5000 180.7193
30.0000 3.0000 206.8107
35.0000 0.0000 0.0000
35.0000 0.5000 82.5919
35.0000 1.0000 116.8640
35.0000 1.5000 150.9194
35.0000 2.0000 183.1373
35.0000 2.5000 212.2320
35.0000 3.0000 237.4193
40.0000 0.0000 0.0000
40.0000 0.5000 100.0977
40.0000 1.0000 139.1023
40.0000 1.5000 175.9998
40.0000 2.0000 208.9235
40.0000 2.5000 236.7840
40.0000 3.0000 259.4350
45.0000 0.0000 0.0000
45.0000 0.5000 116.8708
45.0000 1.0000 159.2892
45.0000 1.5000 197.2791
45.0000 2.0000 229.1271
45.0000 2.5000 254.5272
45.0000 3.0000 270.4394
50.0000 0.0000 74.6415
50.0000 0.5000 132.3581
50.0000 1.0000 176.7654
50.0000 1.5000 214.3018
50.0000 2.0000 244.0697
50.0000 2.5000 262.7380
50.0000 3.0000 276.1352
55.0000 0.0000 84.0898
55.0000 0.5000 146.1546
55.0000 1.0000 191.2075
55.0000 1.5000 227.4199
55.0000 2.0000 251.1460
55.0000 2.5000 267.4568
55.0000 3.0000 230.7105
60.0000 0.0000 92.7864
60.0000 0.5000 157.9808
60.0000 1.0000 202.5540
60.0000 1.5000 236.5574
60.0000 2.0000 256.0343
60.0000 2.5000 231.6838
60.0000 3.0000 215.6326
