thedates total alphavarall
731323.5000 92.4243 433.8085
731346.0000 105.0881 433.8085
731444.0000 56.9808 433.8085
731474.5000 60.3682 433.8085
731505.0000 49.1640 433.8085
731535.5000 62.3613 433.8085
731566.0000 29.0919 433.8085
731597.0000 138.9561 433.8085
731626.5000 59.3086 433.8085
731656.0000 68.7628 433.8085
731686.5000 147.2819 433.8085
731712.0000 115.2093 433.8085
731778.0000 87.7383 433.8085
731809.0000 37.7952 433.8085
731839.5000 48.9514 433.8085
731870.0000 36.7570 433.8085
731900.5000 24.5392 433.8085
731931.0000 55.7763 433.8085
731953.0000 38.0947 433.8085
731993.5000 72.5983 433.8085
732022.0000 41.4552 433.8085
732052.5000 43.7437 433.8085
732083.0000 62.5803 433.8085
732113.5000 40.0542 433.8085
732144.0000 12.6172 433.8085
732175.0000 15.8027 433.8085
732205.5000 52.1179 433.8085
732236.0000 50.9933 433.8085
732266.5000 28.9747 433.8085
732297.0000 55.2639 433.8085
732328.0000 22.2080 433.8085
732357.5000 42.3129 433.8085
732387.0000 35.9218 433.8085
732417.5000 18.1536 433.8085
732448.0000 37.9185 433.8085
732478.5000 29.4693 433.8085
732509.0000 15.5003 433.8085
732540.0000 6.8607 433.8085
732570.5000 15.4934 433.8085
732601.0000 5.2979 433.8085
732631.5000 10.9522 433.8085
732662.0000 67.0784 433.8085
732693.0000 32.0066 433.8085
732722.5000 39.7086 433.8085
732752.0000 18.6340 433.8085
732782.5000 35.7802 433.8085
732813.0000 41.6816 433.8085
732843.5000 -2.4463 433.8085
732874.0000 7.8763 433.8085
732905.0000 2.2416 433.8085
732935.5000 18.0027 433.8085
732966.0000 28.0409 433.8085
732996.5000 24.0390 433.8085
733027.0000 59.4547 433.8085
733058.0000 29.3695 433.8085
733087.0000 42.7230 433.8085
733117.0000 25.1121 433.8085
733147.5000 23.6025 433.8085
733178.0000 33.6308 433.8085
733208.5000 28.0742 433.8085
733239.0000 -8.4780 433.8085
733270.0000 -11.8615 433.8085
733300.5000 4.6490 433.8085
733331.0000 -2.0308 433.8085
733361.5000 6.1907 433.8085
733392.0000 9.2584 433.8085
733423.0000 36.9049 433.8085
733453.0000 41.6090 433.8085
733483.0000 43.5754 433.8085
733513.5000 19.2387 433.8085
733544.0000 6.3741 433.8085
733574.5000 4.3712 433.8085
733605.0000 -0.1228 433.8085
733636.0000 -32.4739 433.8085
733666.5000 2.0464 433.8085
733697.0000 -10.3370 433.8085
733727.5000 9.7017 433.8085
733758.0000 7.1706 433.8085
733789.0000 -13.7237 433.8085
733818.5000 19.9719 433.8085
733848.0000 39.9805 433.8085
733878.5000 8.0428 433.8085
733909.0000 14.8204 433.8085
733939.5000 9.9262 433.8085
733970.0000 10.5670 433.8085
734001.0000 -12.6461 433.8085
734031.5000 -6.0927 433.8085
734062.0000 -22.2214 433.8085
734092.5000 -21.9070 433.8085
734123.0000 -9.8584 433.8085
734154.0000 4.0154 433.8085
734183.5000 -20.4308 433.8085
734213.0000 -14.3328 433.8085
734243.5000 -14.8262 433.8085
734274.0000 10.7803 433.8085
734304.5000 -5.0518 433.8085
734335.0000 -48.4996 433.8085
734366.0000 -59.8941 433.8085
734396.5000 -46.1494 433.8085
734427.0000 -55.4605 433.8085
734457.5000 -55.9955 433.8085
734486.0000 -45.9060 433.8085
734552.0000 -71.5836 433.8085
734578.0000 -36.4976 433.8085
734608.5000 -19.2423 433.8085
734639.0000 -40.5485 433.8085
734702.0000 -47.6003 433.8085
734731.0000 -24.9328 433.8085
734761.5000 -61.7583 433.8085
734792.0000 -62.7524 433.8085
734807.0000 -62.4488 433.8085
734864.5000 -60.4832 433.8085
734884.0000 -34.4618 433.8085
734914.0000 -16.0638 433.8085
734944.0000 -11.7668 433.8085
734962.5000 -4.7092 433.8085
735035.5000 -40.5342 433.8085
735066.0000 -49.8393 433.8085
735097.0000 -79.8841 433.8085
735125.0000 -93.7481 433.8085
735191.0000 -41.4232 433.8085
735219.0000 -48.6421 433.8085
735250.0000 -27.4246 433.8085
735278.5000 1.0096 433.8085
735344.5000 -44.4019 433.8085
735370.0000 -30.4012 433.8085
735400.5000 -32.6775 433.8085
735431.0000 -53.5707 433.8085
735523.0000 -68.2810 433.8085
735553.5000 -80.0741 433.8085
735584.0000 -25.0329 433.8085
735607.5000 -19.1484 433.8085
735674.0000 -27.0779 433.8085
735704.5000 -5.7916 433.8085
735735.0000 -15.6098 433.8085
735762.5000 -48.5949 433.8085
735827.0000 -68.1332 433.8085
735857.5000 -51.9728 433.8085
735888.0000 -82.9041 433.8085
735918.5000 -45.8528 433.8085
735986.0000 -51.3987 433.8085
736009.5000 -66.0468 433.8085
736039.0000 -16.5440 433.8085
736069.5000 -12.1936 433.8085
736080.5000 -27.8965 433.8085
736160.0000 -37.3722 433.8085
736192.0000 -33.7098 433.8085
736221.0000 -66.0446 433.8085
736320.5000 -44.3344 433.8085
736345.0000 -57.9278 433.8085
736373.5000 -27.5882 433.8085
736405.0000 -43.0863 433.8085
736469.5000 -0.6273 433.8085
736496.5000 -14.5196 433.8085
736526.0000 -129.0977 433.8085
736563.0000 -22.2452 433.8085
736660.5000 -90.9511 433.8085
