Date,Date,Difference,Uncertainty,Slope Before,Uncertainty,Slope After,Uncertainty
6-Oct-2002,10/6/2002,94.67,124.86,-103.84,124.86,-9.1651,1.0215
15-Nov-2002,11/15/2002,58.83,76.89,-67.995,76.889,-9.1628,1.0337
16-Dec-2002,12/16/2002,81.29,66.49,-90.558,66.487,-9.2728,1.0342
16-Jan-2003,1/16/2003,31.78,121.64,22.781,121.64,-8.9997,1.0236
14-Feb-2003,2/14/2003,10.30,109.07,1.3084,109.07,-8.9948,1.0363
16-Mar-2003,3/16/2003,6.61,88.57,-2.3435,88.569,-8.9529,1.0502
15-Apr-2003,4/15/2003,51.68,77.36,43.06,77.363,-8.6174,1.0239
11-May-2003,5/11/2003,58.55,65.66,50.168,65.658,-8.3826,1.0195
16-Jul-2003,7/16/2003,37.95,60.51,29.716,60.512,-8.2357,1.0268
16-Aug-2003,8/16/2003,13.44,59.67,5.1676,59.674,-8.2679,1.0383
15-Sep-2003,9/15/2003,3.45,52.28,-4.8025,52.281,-8.256,1.052
16-Oct-2003,10/16/2003,5.62,46.20,-13.904,46.196,-8.2881,1.0639
15-Nov-2003,11/15/2003,14.06,41.09,-22.426,41.091,-8.3669,1.0716
16-Dec-2003,12/16/2003,13.51,36.68,-21.834,36.678,-8.3219,1.0864
7-Jan-2004,1/7/2004,16.15,32.95,-24.493,32.949,-8.3449,1.0995
16-Feb-2004,2/16/2004,11.85,30.48,-20.075,30.481,-8.2227,1.1118
16-Mar-2004,3/16/2004,13.15,27.58,-21.368,27.579,-8.2215,1.1267
15-Apr-2004,4/15/2004,13.56,25.11,-21.766,25.105,-8.2075,1.1422
16-May-2004,5/16/2004,11.30,23.23,-19.412,23.234,-8.1091,1.157
15-Jun-2004,6/15/2004,11.98,21.32,-20.083,21.318,-8.1006,1.1731
16-Jul-2004,7/16/2004,15.24,19.83,-23.445,19.834,-8.2095,1.1797
16-Aug-2004,8/16/2004,17.23,18.36,-25.54,18.356,-8.3062,1.1876
15-Sep-2004,9/15/2004,15.26,17.33,-23.495,17.332,-8.2396,1.2048
16-Oct-2004,10/16/2004,13.62,16.30,-21.789,16.301,-8.1715,1.2224
15-Nov-2004,11/15/2004,13.92,15.19,-22.118,15.19,-8.1995,1.2378
16-Dec-2004,12/16/2004,12.06,14.39,-20.158,14.391,-8.1008,1.2554
16-Jan-2005,1/16/2005,12.74,13.49,-20.892,13.488,-8.1526,1.2697
14-Feb-2005,2/14/2005,11.86,12.71,-19.966,12.705,-8.1055,1.2889
16-Mar-2005,3/16/2005,11.43,11.96,-19.518,11.958,-8.0844,1.3081
15-Apr-2005,4/15/2005,12.00,11.28,-20.15,11.284,-8.148,1.3224
16-May-2005,5/16/2005,11.30,10.68,-19.408,10.679,-8.1102,1.3427
15-Jun-2005,6/15/2005,11.06,10.10,-19.168,10.095,-8.1106,1.3622
16-Jul-2005,7/16/2005,11.44,9.57,-19.622,9.5698,-8.1809,1.3768
16-Aug-2005,8/16/2005,12.06,9.10,-20.354,9.102,-8.2973,1.3856
15-Sep-2005,9/15/2005,12.11,8.64,-20.477,8.639,-8.3689,1.3997
16-Oct-2005,10/16/2005,12.47,8.22,-20.967,8.2212,-8.4967,1.4062
15-Nov-2005,11/15/2005,12.47,7.82,-21.062,7.8229,-8.5954,1.4163
16-Dec-2005,12/16/2005,10.37,7.87,-18.74,7.8674,-8.3749,1.433
16-Jan-2006,1/16/2006,9.73,7.52,-18.07,7.5248,-8.341,1.4555
14-Feb-2006,2/14/2006,8.89,7.23,-17.144,7.2277,-8.2557,1.4796
16-Mar-2006,3/16/2006,8.77,6.91,-17.053,6.9111,-8.2877,1.4991
15-Apr-2006,4/15/2006,8.12,6.63,-16.329,6.6332,-8.2126,1.5243
16-May-2006,5/16/2006,7.36,6.38,-15.456,6.3839,-8.092,1.5499
15-Jun-2006,6/15/2006,7.82,6.19,-16.056,6.1949,-8.2378,1.5568
16-Jul-2006,7/16/2006,7.90,5.96,-16.225,5.9591,-8.3212,1.572
16-Aug-2006,8/16/2006,8.06,5.74,-16.497,5.7437,-8.4411,1.5817
15-Sep-2006,9/15/2006,7.79,5.52,-16.251,5.5199,-8.4586,1.6034
16-Oct-2006,10/16/2006,7.32,5.32,-15.723,5.3212,-8.4044,1.6302
15-Nov-2006,11/15/2006,6.96,5.13,-15.326,5.125,-8.3692,1.6567
16-Dec-2006,12/16/2006,5.97,5.06,-14.047,5.0596,-8.08,1.6779
16-Jan-2007,1/16/2007,5.63,4.88,-13.611,4.8779,-7.9809,1.7081
14-Feb-2007,2/14/2007,5.11,4.72,-12.884,4.7248,-7.7748,1.7371
16-Mar-2007,3/16/2007,4.93,4.56,-12.606,4.5604,-7.6802,1.769
15-Apr-2007,4/15/2007,4.78,4.41,-12.366,4.405,-7.5857,1.8018
16-May-2007,5/16/2007,4.51,4.26,-11.917,4.2581,-7.4039,1.8346
15-Jun-2007,6/15/2007,4.36,4.12,-11.606,4.1167,-7.2483,1.869
16-Jul-2007,7/16/2007,4.66,4.06,-12.027,4.0622,-7.3654,1.8886
16-Aug-2007,8/16/2007,4.94,4.00,-12.451,4.0023,-7.5113,1.9033
15-Sep-2007,9/15/2007,4.98,3.89,-12.509,3.8877,-7.5261,1.9337
16-Oct-2007,10/16/2007,5.07,3.79,-12.661,3.7864,-7.5915,1.959
15-Nov-2007,11/15/2007,5.05,3.67,-12.637,3.6742,-7.5856,1.9918
16-Dec-2007,12/16/2007,5.00,3.56,-12.545,3.5641,-7.5467,2.0277
16-Jan-2008,1/16/2008,4.74,3.48,-11.992,3.4814,-7.2564,2.0645
15-Feb-2008,2/15/2008,4.50,3.41,-11.397,3.4055,-6.8988,2.0962
16-Mar-2008,3/16/2008,4.32,3.33,-10.81,3.3297,-6.4936,2.1223
15-Apr-2008,4/15/2008,4.34,3.24,-10.624,3.2353,-6.2811,2.1654
16-May-2008,5/16/2008,4.46,3.16,-10.627,3.1551,-6.1701,2.2111
15-Jun-2008,6/15/2008,4.58,3.08,-10.644,3.0786,-6.0651,2.2581
