lon lat
343.9462 67.5032
344.1503 67.4750
344.3677 67.4774
344.4576 67.4688
344.5921 67.4393
344.6237 67.4379
344.6398 67.4332
344.7959 67.4262
344.8883 67.4117
345.0234 67.3712
345.1895 67.3549
345.2796 67.3348
345.3742 67.2975
345.5069 67.2821
345.6609 67.2882
345.7839 67.2657
345.8713 67.2670
346.0802 67.2221
346.4390 67.1923
346.5126 67.1653
346.6096 67.1540
346.7696 67.0852
346.8677 67.0673
346.9066 67.0444
347.0372 67.0164
347.1770 66.9218
347.4055 66.8380
347.4336 66.7996
347.4996 66.7712
347.5123 66.7613
347.5663 66.6582
347.5722 66.6542
347.6010 66.6373
347.6015 66.6344
347.6980 66.5690
347.6975 66.4466
347.7586 66.3809
347.7517 66.3647
347.7690 66.3410
347.7624 66.3299
347.7745 66.3281
347.8406 66.3084
347.9900 66.2312
348.0507 66.2199
348.0721 66.2072
348.2143 66.1698
348.2655 66.1463
348.3553 66.0713
348.3903 66.0582
348.4013 66.0432
348.5548 65.9806
348.5922 65.9536
348.6227 65.9041
348.6286 65.9010
348.6331 65.8871
348.6463 65.8657
348.7691 65.7927
348.7943 65.7626
348.8057 65.6952
348.8224 65.6812
348.8215 65.6762
348.8838 65.6239
348.8987 65.5914
348.8884 65.5333
348.9339 65.4802
348.9400 65.4457
348.9205 65.4021
348.9464 65.3606
348.9455 65.3246
348.9246 65.2929
348.9390 65.2617
348.9324 65.2246
348.9144 65.2024
348.9222 65.1801
348.9115 65.1424
348.8983 65.1283
348.9023 65.1137
348.8890 65.0759
348.8818 65.0687
348.8836 65.0613
348.8691 65.0238
348.8688 65.0235
348.8689 65.0231
348.8574 64.9934
348.8516 64.9770
348.8476 64.9634
348.8420 64.9412
348.8348 64.9115
348.8312 64.9074
348.8327 64.9032
348.8244 64.8715
348.8150 64.8609
348.8183 64.8501
348.8084 64.8183
348.7929 64.8020
348.7968 64.7851
348.7842 64.7527
348.7627 64.7321
348.7655 64.7102
348.7491 64.6768
348.7218 64.6534
348.7221 64.6280
348.7008 64.5933
348.6689 64.5687
348.6657 64.5415
348.6385 64.5049
348.6028 64.4805
348.5960 64.4526
348.5620 64.4142
348.5192 64.3881
348.5073 64.3573
348.4669 64.3185
348.4101 64.2878
348.3888 64.2504
348.3426 64.2135
348.2607 64.1753
348.2211 64.1268
348.1698 64.0939
348.0424 64.0448
347.9643 63.9798
347.9086 63.9530
347.8239 63.9286
347.8049 63.9137
347.7751 63.9056
347.7462 63.8409
347.7011 63.7999
347.5938 63.7441
347.5401 63.6761
347.4847 63.6395
347.3636 63.5917
347.2904 63.5283
347.2269 63.4966
347.0919 63.4562
346.9990 63.3972
346.9294 63.3707
346.7779 63.3377
346.6623 63.2829
346.5887 63.2621
346.4158 63.2373
346.3930 63.2294
346.3842 63.2254
346.3798 63.2248
346.2720 63.1873
346.1963 63.1727
345.9959 63.1587
345.8158 63.1160
345.7400 63.1080
345.5289 63.1100
345.4955 63.1052
345.4800 63.1066
345.3592 63.0907
345.3441 63.0804
345.2867 63.0571
345.2341 63.0447
345.1991 63.0232
345.1415 63.0020
345.0836 62.9899
345.0430 62.9677
344.9849 62.9485
344.9225 62.9373
344.8769 62.9150
344.8178 62.8977
344.7523 62.8879
344.7024 62.8661
344.6421 62.8506
344.5752 62.8425
344.5224 62.8220
344.4603 62.8082
344.3940 62.8020
344.3398 62.7834
344.2757 62.7711
344.2131 62.7670
344.1605 62.7508
344.0940 62.7399
344.0431 62.7378
343.9993 62.7255
343.9307 62.7159
343.8930 62.7151
343.8602 62.7065
343.7899 62.6977
343.7648 62.6975
343.7427 62.6920
343.6711 62.6837
343.6580 62.6838
343.6464 62.6809
343.5740 62.6729
343.5723 62.6729
343.5709 62.6726
343.5072 62.6655
343.4633 62.6605
343.4631 62.6605
343.4387 62.6543
343.4035 62.6449
343.3582 62.6325
343.3028 62.6171
343.2411 62.5998
343.2366 62.5992
343.2334 62.5977
343.1704 62.5801
343.1600 62.5787
343.1523 62.5751
343.0891 62.5579
343.0727 62.5557
343.0605 62.5502
342.9969 62.5333
342.9745 62.5304
342.9575 62.5231
342.8933 62.5068
342.8648 62.5034
342.8428 62.4944
342.7779 62.4788
342.7432 62.4751
342.7159 62.4645
342.6500 62.4499
342.6091 62.4461
342.5762 62.4342
342.5092 62.4207
342.4622 62.4172
342.4235 62.4042
342.3552 62.3919
342.3024 62.3890
342.2576 62.3755
342.1880 62.3645
342.1507 62.3632
342.1285 62.3622
342.0790 62.3488
342.0077 62.3395
341.5345 62.3342
341.3919 62.3275
341.3465 62.3240
341.2176 62.3112
341.1931 62.3083
341.1891 62.3083
341.1846 62.3079
341.1559 62.3084
341.1494 62.3084
341.1188 62.3082
341.0678 62.3074
340.9991 62.3060
340.9207 62.3044
340.9146 62.3050
340.9086 62.3042
340.8282 62.3027
340.8154 62.3039
340.8029 62.3023
340.7218 62.3011
340.7024 62.3032
340.6831 62.3007
340.6019 62.3002
340.5755 62.3032
340.5492 62.3001
340.4683 62.3005
340.4348 62.3046
340.4008 62.3012
340.3207 62.3026
340.2793 62.3083
340.2369 62.3048
340.1581 62.3075
340.1083 62.3153
340.0563 62.3121
339.9792 62.3163
339.9205 62.3269
339.8577 62.3246
339.7829 62.3307
339.7146 62.3450
339.6399 62.3445
339.5677 62.3526
339.4899 62.3718
339.4023 62.3743
339.3332 62.3846
339.2469 62.4100
339.1461 62.4170
339.0806 62.4299
338.9880 62.4628
338.8752 62.4761
338.8137 62.4918
338.7189 62.5330
338.5974 62.5544
338.5402 62.5731
338.4493 62.6227
338.3244 62.6532
338.2721 62.6751
338.1979 62.7274
338.0855 62.7632
338.0379 62.7885
338.0119 62.8127
337.9708 62.8147
337.9548 62.8174
337.9379 62.8164
337.8301 62.8222
337.8149 62.8249
337.7988 62.8240
337.6912 62.8305
337.6763 62.8332
337.6603 62.8324
337.5546 62.8394
337.5393 62.8423
337.5228 62.8415
337.4208 62.8488
337.4043 62.8521
337.3865 62.8514
337.2899 62.8589
337.2713 62.8627
337.2510 62.8621
337.1615 62.8697
337.1392 62.8745
337.1146 62.8740
337.0340 62.8816
337.0051 62.8881
336.9730 62.8878
336.9031 62.8953
336.8620 62.9051
336.8157 62.9055
336.7582 62.9127
336.6916 62.9301
336.6152 62.9330
336.5718 62.9399
336.4901 62.9646
336.4069 62.9702
336.3539 62.9886
336.2850 62.9956
336.2574 63.0020
336.0549 63.0832
335.8411 63.1279
335.7717 63.1708
335.7693 63.1714
335.7633 63.1760
335.7364 63.1926
335.6211 63.2274
335.5928 63.2524
335.4983 63.2852
335.4881 63.2910
335.4575 63.3229
335.4002 63.3458
335.3208 63.4491
335.1627 63.5466
335.1557 63.5742
335.1509 63.5774
335.1384 63.6424
335.1351 63.6555
335.0970 63.6890
335.0980 63.6973
335.0312 63.7668
335.0428 63.8101
335.0240 63.8344
334.9807 63.8573
334.8385 63.8921
334.7724 63.9196
334.7037 63.9678
334.5972 64.0008
334.5372 64.0317
334.4864 64.0777
334.3969 64.1115
334.3456 64.1437
334.3034 64.1940
334.2177 64.2335
334.1779 64.2649
334.1398 64.3305
334.0465 64.3865
334.0208 64.4149
333.9987 64.4993
333.9218 64.5599
333.9229 64.5903
333.8895 64.6230
333.8808 64.6464
333.8900 64.6836
333.8812 64.6929
333.8984 64.7462
333.8965 64.7494
333.8735 64.7609
333.8246 64.8040
333.7842 64.8173
333.6940 64.9064
333.5173 64.9989
333.4936 65.0209
333.4465 65.1371
333.3438 65.2275
333.3475 65.2487
333.3023 65.2933
333.2938 65.3175
333.3139 65.3883
333.3109 65.3914
333.3256 65.4352
333.2867 65.5312
333.2867 65.5312
333.2778 65.5527
333.2835 65.5789
333.3588 65.6622
333.3605 65.7537
333.3791 65.7816
333.4364 65.8208
333.4395 65.8316
333.4632 65.8443
333.4834 65.9041
333.5137 65.9333
333.5869 65.9708
333.6145 66.0185
333.6551 66.0488
333.7157 66.0742
333.7421 66.1086
333.7914 66.1397
333.8398 66.1572
333.8627 66.1822
333.9192 66.2140
333.9568 66.2262
333.9756 66.2444
334.0377 66.2765
334.0662 66.2849
334.0808 66.2980
334.1471 66.3302
334.1674 66.3358
334.1782 66.3449
334.2470 66.3769
334.2601 66.3803
334.2671 66.3861
334.3369 66.4175
334.3430 66.4191
334.3463 66.4218
334.4142 66.4519
334.4142 66.4519
334.4149 66.4522
334.4156 66.4525
334.4156 66.4525
334.4675 66.4755
334.4825 66.4974
334.5315 66.5301
334.5395 66.5692
334.5686 66.6015
334.6627 66.6543
334.6976 66.7192
334.7352 66.7480
334.9031 66.8195
335.0023 66.9104
335.0515 66.9345
335.2741 66.9972
335.3238 67.0251
335.3577 67.0310
335.4253 67.0650
335.4295 67.0676
335.4314 67.0680
335.5096 67.1073
335.5728 67.1256
335.7863 67.1574
335.8046 67.1659
335.8793 67.1757
336.0848 67.2392
336.1605 67.2516
336.4000 67.2635
336.6135 67.3066
336.6987 67.3136
336.8154 67.3107
336.8203 67.3114
336.8398 67.3101
336.8902 67.3088
337.0716 67.3327
337.1634 67.3347
337.3149 67.3218
337.4668 67.3340
337.5624 67.3315
337.6851 67.3147
337.8149 67.3198
337.9117 67.3133
338.0155 67.2942
338.1309 67.2947
338.2262 67.2848
338.3192 67.2634
338.4274 67.2602
338.5186 67.2474
338.6071 67.2228
338.7148 67.2159
338.7995 67.2006
338.8828 67.1729
338.9893 67.1623
339.0668 67.1450
339.1392 67.1162
339.2371 67.1030
339.3085 67.0838
339.3679 67.0559
339.4531 67.0416
339.5195 67.0206
339.5654 66.9955
339.6355 66.9816
339.6682 66.9699
339.7263 66.9736
339.9142 66.9898
339.9345 66.9871
340.0602 66.9953
340.0881 66.9909
340.1026 66.9918
340.1335 66.9869
340.2779 67.0129
340.3463 67.0172
340.5500 67.0081
340.7182 67.0250
340.7630 67.0197
340.8562 67.0280
340.9372 67.0264
340.9984 67.0184
341.0124 67.0225
341.0841 67.0333
341.3366 67.0429
341.5045 67.0736
341.5127 67.0819
341.5464 67.0997
341.7319 67.1560
341.8425 67.2242
341.9333 67.2419
341.9899 67.2742
342.1731 67.3068
342.3381 67.3701
342.3904 67.3814
342.5121 67.3927
342.5407 67.4028
342.5475 67.4034
342.5997 67.4192
342.8798 67.4324
342.9336 67.4420
343.0174 67.4628
343.0528 67.4631
343.2116 67.4914
343.2815 67.4957
343.5120 67.4858
343.7015 67.5035
343.7543 67.4970
343.8637 67.5055
343.9462 67.5032
