lon lat total
0.0000 90.0000 -0.3288
0.0000 89.0000 0.2359
0.0000 88.0000 0.6269
0.0000 87.0000 0.4289
0.0000 86.0000 -0.2294
0.0000 85.0000 -0.7462
0.0000 84.0000 -0.5886
0.0000 83.0000 0.1792
0.0000 82.0000 0.8927
0.0000 81.0000 0.8537
0.0000 80.0000 -0.0160
0.0000 79.0000 -1.0344
0.0000 78.0000 -1.2955
0.0000 77.0000 -0.4430
0.0000 76.0000 0.9797
0.0000 75.0000 1.9120
0.0000 74.0000 1.5781
0.0000 73.0000 0.0565
0.0000 72.0000 -1.8128
0.0000 71.0000 -3.0527
0.0000 70.0000 -3.1756
0.0000 69.0000 -2.3689
0.0000 68.0000 -1.2203
0.0000 67.0000 -0.3125
0.0000 66.0000 0.0004
0.0000 65.0000 -0.3983
0.0000 64.0000 -1.4104
0.0000 63.0000 -2.6729
0.0000 62.0000 -3.5572
0.0000 61.0000 -3.4100
0.0000 60.0000 -2.0062
0.0000 59.0000 0.1284
0.0000 58.0000 1.8958
0.0000 57.0000 2.3145
0.0000 56.0000 1.2417
0.0000 55.0000 -0.4688
0.0000 54.0000 -1.5721
0.0000 53.0000 -1.3576
0.0000 52.0000 -0.1581
0.0000 51.0000 0.9773
0.0000 50.0000 1.1643
0.0000 49.0000 0.3772
0.0000 48.0000 -0.6114
0.0000 47.0000 -0.9495
0.0000 46.0000 -0.4302
0.0000 45.0000 0.3961
0.0000 44.0000 0.7735
0.0000 43.0000 0.4205
0.0000 42.0000 -0.2684
0.0000 41.0000 -0.6390
0.0000 40.0000 -0.3892
0.0000 39.0000 0.1910
0.0000 38.0000 0.5374
0.0000 37.0000 0.3526
0.0000 36.0000 -0.1431
0.0000 35.0000 -0.4600
0.0000 34.0000 -0.3169
0.0000 33.0000 0.1129
0.0000 32.0000 0.4003
0.0000 31.0000 0.2843
0.0000 30.0000 -0.0936
0.0000 29.0000 -0.3534
0.0000 28.0000 -0.2553
0.0000 27.0000 0.0811
0.0000 26.0000 0.3160
0.0000 25.0000 0.2298
0.0000 24.0000 -0.0731
0.0000 23.0000 -0.2856
0.0000 22.0000 -0.2074
0.0000 21.0000 0.0680
0.0000 20.0000 0.2607
0.0000 19.0000 0.1877
0.0000 18.0000 -0.0648
0.0000 17.0000 -0.2399
0.0000 16.0000 -0.1703
0.0000 15.0000 0.0630
0.0000 14.0000 0.2224
0.0000 13.0000 0.1549
0.0000 12.0000 -0.0620
0.0000 11.0000 -0.2074
0.0000 10.0000 -0.1412
0.0000 9.0000 0.0617
0.0000 8.0000 0.1945
0.0000 7.0000 0.1289
0.0000 6.0000 -0.0618
0.0000 5.0000 -0.1833
0.0000 4.0000 -0.1178
0.0000 3.0000 0.0622
0.0000 2.0000 0.1735
0.0000 1.0000 0.1079
0.0000 0.0000 -0.0629
0.0000 -1.0000 -0.1648
0.0000 -2.0000 -0.0988
0.0000 -3.0000 0.0636
0.0000 -4.0000 0.1571
0.0000 -5.0000 0.0905
0.0000 -6.0000 -0.0645
0.0000 -7.0000 -0.1502
0.0000 -8.0000 -0.0829
0.0000 -9.0000 0.0654
0.0000 -10.0000 0.1439
0.0000 -11.0000 0.0760
0.0000 -12.0000 -0.0664
0.0000 -13.0000 -0.1383
0.0000 -14.0000 -0.0695
0.0000 -15.0000 0.0674
0.0000 -16.0000 0.1332
0.0000 -17.0000 0.0636
0.0000 -18.0000 -0.0684
0.0000 -19.0000 -0.1286
0.0000 -20.0000 -0.0580
0.0000 -21.0000 0.0694
0.0000 -22.0000 0.1243
0.0000 -23.0000 0.0529
0.0000 -24.0000 -0.0705
0.0000 -25.0000 -0.1204
0.0000 -26.0000 -0.0480
0.0000 -27.0000 0.0715
0.0000 -28.0000 0.1168
0.0000 -29.0000 0.0435
0.0000 -30.0000 -0.0726
0.0000 -31.0000 -0.1136
0.0000 -32.0000 -0.0393
0.0000 -33.0000 0.0736
0.0000 -34.0000 0.1106
0.0000 -35.0000 0.0353
0.0000 -36.0000 -0.0747
0.0000 -37.0000 -0.1078
0.0000 -38.0000 -0.0315
0.0000 -39.0000 0.0758
0.0000 -40.0000 0.1053
0.0000 -41.0000 0.0280
0.0000 -42.0000 -0.0769
0.0000 -43.0000 -0.1030
0.0000 -44.0000 -0.0246
0.0000 -45.0000 0.0781
0.0000 -46.0000 0.1010
0.0000 -47.0000 0.0215
0.0000 -48.0000 -0.0793
0.0000 -49.0000 -0.0992
0.0000 -50.0000 -0.0186
0.0000 -51.0000 0.0805
0.0000 -52.0000 0.0976
0.0000 -53.0000 0.0159
0.0000 -54.0000 -0.0817
0.0000 -55.0000 -0.0963
0.0000 -56.0000 -0.0134
0.0000 -57.0000 0.0830
0.0000 -58.0000 0.0953
0.0000 -59.0000 0.0111
0.0000 -60.0000 -0.0843
0.0000 -61.0000 -0.0945
0.0000 -62.0000 -0.0091
0.0000 -63.0000 0.0857
0.0000 -64.0000 0.0940
0.0000 -65.0000 0.0073
0.0000 -66.0000 -0.0872
0.0000 -67.0000 -0.0939
0.0000 -68.0000 -0.0059
0.0000 -69.0000 0.0886
0.0000 -70.0000 0.0943
0.0000 -71.0000 0.0048
0.0000 -72.0000 -0.0902
0.0000 -73.0000 -0.0951
0.0000 -74.0000 -0.0043
0.0000 -75.0000 0.0918
0.0000 -76.0000 0.0966
0.0000 -77.0000 0.0044
0.0000 -78.0000 -0.0933
0.0000 -79.0000 -0.0987
0.0000 -80.0000 -0.0054
0.0000 -81.0000 0.0948
0.0000 -82.0000 0.1018
0.0000 -83.0000 0.0074
