lat lon
331.4185 84.1930
331.5927 84.1959
331.7914 84.1934
332.5630 84.1595
332.8844 84.1580
333.2723 84.1301
333.5563 84.1188
333.6579 84.1153
333.6635 84.1146
333.9921 84.1016
334.1823 84.0866
334.5041 84.0413
334.9426 84.0097
335.1229 83.9864
335.2107 83.9647
335.3764 83.9499
335.5494 83.9221
335.5633 83.9175
335.5964 83.9144
335.6221 83.9100
335.7611 83.9004
335.8095 83.8944
335.8796 83.8918
336.1309 83.8730
336.2727 83.8539
336.4777 83.8437
336.6888 83.8239
336.9024 83.7880
337.0983 83.7757
337.1620 83.7626
337.3208 83.7495
337.4617 83.7286
337.5273 83.7095
337.5934 83.7070
337.8053 83.6904
338.0502 83.6561
338.3893 83.6346
338.5677 83.6141
338.7429 83.5772
339.0230 83.5511
339.1667 83.5271
339.2771 83.4894
339.4980 83.4604
339.6065 83.4336
339.6605 83.3961
339.8272 83.3655
339.8612 83.3519
340.0456 83.3394
340.2065 83.3196
340.3853 83.2795
340.6695 83.2505
340.8061 83.2254
340.8734 83.1995
341.0223 83.1803
341.1421 83.1517
341.1641 83.1381
341.2341 83.1279
341.2845 83.1138
341.4105 83.1043
341.4688 83.0963
341.5519 83.0929
341.7813 83.0735
341.9007 83.0556
342.0730 83.0461
342.2652 83.0260
342.4045 83.0002
342.5098 82.9937
342.5912 82.9771
342.7774 82.9608
342.9074 82.9405
343.2054 82.8520
343.2191 82.8492
343.4278 82.8105
343.4295 82.8063
343.5955 82.7725
343.6398 82.7527
343.6423 82.7271
343.7259 82.7052
343.6551 82.5976
343.6653 82.4939
343.6105 82.4807
343.6111 82.4739
343.5666 82.4632
343.5562 82.4473
343.5050 82.4286
343.2432 82.3771
343.2217 82.3621
342.9935 82.3253
342.7829 82.2747
342.9228 82.2862
343.1310 82.2939
343.3369 82.2935
343.5233 82.3050
343.7405 82.3094
343.9701 82.3054
344.1912 82.3145
344.4104 82.3150
344.6723 82.3055
344.9411 82.3107
345.1551 82.3067
345.4501 82.2891
345.7736 82.2873
345.9748 82.2782
346.2749 82.2504
346.6285 82.2382
346.8101 82.2237
347.0002 82.1966
347.1330 82.1888
347.4796 82.1927
347.6648 82.1877
348.0927 82.1575
348.5660 82.1446
348.7266 82.1333
349.0357 82.0932
349.4179 82.0683
349.5559 82.0515
349.7327 82.0134
349.9925 81.9871
350.1114 81.9658
350.1994 81.9357
350.3629 81.9137
350.4665 81.8888
350.5065 81.8675
350.6057 81.8515
350.6980 81.8237
350.7146 81.8102
350.7716 81.7998
350.8563 81.7701
350.8621 81.7632
350.8897 81.7578
350.9703 81.7268
350.9709 81.7258
350.9748 81.7251
351.0458 81.6972
351.1132 81.6718
351.1897 81.6436
351.1921 81.6404
351.2049 81.6379
351.2812 81.6084
351.2875 81.5986
351.3237 81.5909
351.3883 81.5624
351.3953 81.5446
351.4537 81.5298
351.5010 81.5026
351.4990 81.4743
351.5720 81.4496
351.5967 81.4238
351.5642 81.3827
351.6292 81.3444
351.6262 81.3201
351.5264 81.2663
351.5365 81.2128
351.5014 81.1903
351.3214 81.1377
